Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Species
2011.06.30,2011,Unprovoked,TURKS & CAICOS,Middle Caicos,Mudjin Harbor,Snorkeling,M,Injured,N,
2011.06.29,2011,Unprovoked,BRAZIL,Pernambuco,Praia do Pina,Surfing,M,Injured,N,
2011.06.28,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Scuba diving,M,Injured,N,"Dusky shark, 3m"
2011.06.26,2011,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Playing in the surf,F,Bitten,N,"Bull shark, 6'"
2011.06.24,2011,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,Injured,N,"White shark, 5' k"
2011.06.21,2011,Unprovoked,USA,Florida,"Perdido Key, Escambia County",Jet skiing,M,Injured,N,
2011.06.19.b,2011,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,Spearfishing,M,Bitten,N,5' shark
2011.06.19.a,2011,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,Fatal,Y,
2011.06.15,2011,Unprovoked,REUNION,Saint-Gilles-les-Bains,Boucan-Canot,Boogie Boarding,M,Fatal,Y,
2011.06.14.R,2011,Boat,UNITED KINGDOM,Cornwall,St. Ives,Fishing,0,No injury,N,"Oceanic whitetip shark, 7'"
2011.06.12,2011,Unprovoked,USA,Florida,"Off Jupiter Inlet, Palm Beach County",Scuba diving,M,Injured,N,"Blacktip shark, 4'"
2011.06.06.R,2011,Unprovoked,COLUMBIA,San Andrés archipelago,Albuquerque Cay,Spearfishing,M,Injured,N,
2011.06.06.b,2011,Unprovoked,USA,California,"La Jolla, San Diego County",Spearfishing,M,No injury,N,"Sevengill shark, 6' to 8'"
2011.06.06.a,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Injured,N,3' to 4' shark
2011.06.01,2011,Unprovoked,MALAYSIA,Kedah,Palau Payar,Snorkeling,F,Injured,N,Blacktip reef shark 
2011.05.30,2011,Unprovoked,USA,Texas,"Follett's Island, Brazoria County",Standing or boogie boardin,F,Injured,N,
2011.05.29,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Robberg Beach,Surfing,M,No injury,N,White shark
2011.05.25,2011,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",Surfing,F,No injury,N,"Tiger shark, 10'"
2011.05.22,2011,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",Paddle boarding,F,No injury,N,Tiger shark
2011.05.21.a,2011,Unprovoked,NEW CALEDONIA,North Province,Kendec,Kite Boarding,M,Fatal,Y," Tiger shark, 2.8m"
2011.05.21.b,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Levan Point,Spearfishing,M,Fatal,Y,Zambesi shark
2011.05.13.b,2011,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Body surfing,M,Injured,N,
2011.05.13.a,2011,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,Injured,N,
2011.05.10,2011,Provoked,USA,Florida,Miami,Fishing ,M,Injured,N,"Sandbar shark ,8'"
2011.05.04,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,Spearfishing,M,Bitten,N,
2011.04.26,2011,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Spearfishing,M,Bitten,N,"Bull shark, 12'"
2011.04.23,2011,Unprovoked,AUSTRALIA,Western Australia,Red Bluffs,Washing sand off a speared fish,M,Bitten,N,"reef shark, 1.5m"
2011.04.22,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing ,M,Injured,N,1' to 2' shark
2011.04.16,2011,Unprovoked,NEW ZEALAND,South Island,Snapper Point,Surfing,M,Injured,N,possibly a bronze whaler shark
2011.04.12,2011,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,Injured,N," Bull shark, 2.5 m"
2011.04.08,2011,Unprovoked,FIJI,Vitu Levu,"Malake Island, Ra Province",Diving,M,Injured,N,
2011.03.29.R,2011,Provoked,USA,Texas,Matagorda Beach,"Standing, holding shark pup",M,Injured,N,Blacktip shark pup
2011.03.24,2011,Unprovoked,MEXICO,Quintana Roo,"Gaviotas Beach, Cancun",Swimming,F,Bitten,N,Bull shark
2011.03.23,2011,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Surfing,M,Severed,N,"Bull shark, 2.5m"
2011.03.21.b,2011,Unprovoked,MEXICO,Quintana Roo,,Swimming,M,Bitten,N,
2011.03.21.a,2011,Unprovoked,FIJI,,Nukudamu ,Diving / fishing,M,Severed,N,
2011.03.16,2011,Unprovoked,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,F,Severed,N,3 m to 4 m shark
2011.03.10,2011,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,No injury,N,
2011.02.28.R,2011,Provoked,AUSTRALIA,Queensland,Between ,Fishing,M,Injured,N,"Bull shark, 2m"
2011.02.23,2011,Unprovoked,NEW CALEDONIA, Loyalty Islands,"Bay of Bweedro, Ouvéa",Spearfishing,M,Injured,N,1.5 m shark
2011.02.19,2011,Unprovoked,REUNION,Saint Gilles ,Trois-Roches,Surfing,M,Severed,N,
2011.02.17,2011,Unprovoked,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,Diving for abalone,M,Fatal,Y,White shark x 2
2011.02.13,2011,Provoked,AUSTRALIA,Queensland,Sunshine Beach,Fishing,M,Injured,N,1 m shark
2011.02.12,2011,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Snorkeling,M,Bitten,N,
2011.02.04.R,2011,Provoked,MEXICO,Colima,"Manzanillo, Revillagigedo Islands",Shark fishing on the Ricardo Astorga,M,Bitten,N,
2011.02.02,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Surf fishing,M,Bitten,N,
2011.01.31,2011,Unprovoked,MEXICO,Quintana Roo,Cancun,Swimming,F,Severed,N,6' shark
2011.01.28,2011,Provoked,MEXICO,Colima,Revillagigedo Islands,Shark fishing on the Don Agustín-VI. ,M,Bitten,N,
2011.01.26,2011,Unprovoked,BAHAMAS,West End,Tiger Beach,Scuba diving,M,Bitten,N,Caribbean reef shark
2011.01.15,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,Fatal,Y,
2011.01.12.R,2011,Unprovoked,MEXICO,Quintana Roo,Xcalak ,Attempting to fix motor,M,Bitten,N,
2011.01.03,2011,Boat,AUSTRALIA,Western Australia,Busselton,Fishing,0,No injury,N,White shark
2010.12.26,2010,Unprovoked,USA,Hawaii," Kahului, Maui",Body boarding,M,Injured,N,6' shark
2010.12.17,2010,Unprovoked,FIJI,Vitu Levu,Sigatoka,Surfing,M,Injured,N,
2010.12.11,2010,Unprovoked,USA,Hawaii,"Tavares Bay, Maui",Surfing,M,Injured,N,
2010.12.05,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",Snorkeling,F,Fatal,Y,"Oceanic whitetip shark, 2.5m "
2010.12.03.R,2010,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,Injured,N,
2010.12.01.b,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,Severed,N,Mako shark 
2010.12.01.a,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,Injured,N,Mako shark
2010.11.30.b,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,Severed,N,"Oceanic whitetip shark, 2.5m, female"
2010.11.30.a,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,Bitten,N,"Oceanic whitetip shark, 2.5m, female"
2010.11.27.R,2010,Unprovoked,SAMOA,,,Fishing,M,Injured,N,
2010.11.19,2010,Provoked,USA,Palmyra Atoll,,Snorkeling,M,Bitten,N,
2010.11.15,2010,Unprovoked,DOMINICAN REPUBLIC,,Boca Chica,Diving,M,Fatal,Y,
2010.11.14,2010,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,Bitten,N,
2010.11.12.R,2010,Boat,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,Fishing,M,No injury,N,White shark
2010.10.30,2010,Unprovoked,AUSTRALIA,Western Australia,Off Garden Island,Snorkeling,F,Bitten,N,White shark
2010.10.28.R,2010,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,Spearfishing,M,No injury,N,
2010.10.28,2010,Unprovoked,USA,Oregon,Florence,Surfing,M,No injury,N,
2010.10.25,2010,Provoked,AZORES,,350 miles from Faial Island,Fishing,M,Unknown,N,
2010.10.23.b,2010,Unprovoked,USA,Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,M,No injury,N,"Porbeagle shark, 8' "
2010.10.23.a,2010,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,Kite Surfing,M,Injured,N,
2010.10.22,2010,Unprovoked,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Body boarding,M,Fatal,Y,"White shark, 14' to 18' "
2010.10.20,2010,Unprovoked,EGYPT,South Sinai Peninsula,Sharm el-Sheikh ,Snorkeling,F,Injured,N,
2010.10.09,2010,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,Surfing,M,Bitten,N,"Bull shark, 1.4m "
2010.10.02.b,2010,Unprovoked,BAHAMAS,Exuma Islands,,Snorkeling,M,Bitten,N,Lemon shark
2010.10.02.a,2010,Unprovoked,BAHAMAS,Abaco Islands,Elbow Cay,Surfing,F,Bitten,N,Possibly a 6' lemon shark
2010.10.01,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",Surfing,M,Injured,N,
2010.09.27,2010,Unprovoked,USA,Oregon,Winchester Bay,Surfing,M,No injury,N,White shark
2010.09.24,2010,Unprovoked,USA,Virginia,Sandridge Beach,Surfing,M,Bitten,N,
2010.09.21,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,M,Fatal,Y,White shark
2010.09.13,2010,Unprovoked,AUSTRALIA,New South Wales,Fraser's Reef,Surfing,M,Injured,N,2m shark
2010.09.07,2010,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Swimming,M,Injured,N,3' shark
2010.09.06.R,2010,Unprovoked,TONGA,Ha'api ,,Swimming /  Whale Watching,M,Injured,N,
2010.09.04,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,No injury,N,
2010.09.03.b,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2010.09.03.a,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,
2010.09.02,2010,Unprovoked,SOLOMON ISLANDS,Western Province,,,M,Injured,N,
2010.08.18,2010,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Boogie Boarding,M,Injured,N,
2010.08.17,2010,Unprovoked,AUSTRALIA,Western Australia,Cowaramup Bay,Surfing,M,Fatal,Y,White shark
2010.08.14,2010,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Kayak Fishing,M,No injury,N,White shark
2010.08.10.b,2010,Provoked,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",Fishing,F,Bitten,N,
2010.08.10,2010,Unprovoked,SOUTH KOREA,Jeju Province,Jeju Island,Swimming,F,Injured,N,
2010.08.08,2010,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing,M,Bitten,N,
2010.08.07.b,2010,Unprovoked,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,M,Bitten,N,
2010.08.07.a,2010,Unprovoked,MALTA,,"Off Fort St. Elmo, Valetta",Windsurfing,M,No injury,N,3 m shark
2010.08.02.b,2010,Unprovoked,USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",Kayaking,M,No injury,N,"White shark, 15'"
2010.08.02.a,2010,Unprovoked,USA,Florida,"Micklers Landing, St. Johns County",Standing,F,Injured,N,3' to 4' shark
2010.07.25,2010,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Standing,M,Injured,N,4' shark
2010.07.23,2010,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,Bitten,N,
2010.07.19,2010,Unprovoked,USA,South Carolina,Myrtle Beach,Swimming,M,Injured,N,Possibly a small blacktip shark
2010.07.17.b,2010,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,F,Injured,N,"Sandtiger shark, 4' to 5'"
2010.07.17.a,2010,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,Injured,N,A small spinner shark
2010.07.16.b,2010,Provoked,SPAIN,Grand Canary Island,"Sardina del Norte, Gáldar",Swimming,M,Injured,N,Angel shark
2010.07.16.a,2010,Unprovoked,USA,Texas,Galveston,Fishing,M,Bitten,N,
2010.07.11,2010,Provoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,M,Injured,N,"Nurse shark, juvenile "
2010.07.04,2010,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,F,Bitten,N,
2010.07.03,2010,Provoked,USA,New York,Off Long Island,Fishing,M,Injured,N,"Blue shark, 7'"
2010.07.02.b,2010,Unprovoked,USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,M,Injured,N,4' shark
2010.07.02.a,2010,Unprovoked,USA,California,"Dog Patch, San Onofre",Stand-Up Paddleboarding,M,No injury,N,8' shark
2010.06.27,2010,Unprovoked,USA,Texas,"Eight Mile Beach, Galveston",Surfing,M,Injured,N,"Bull shark, 5'"
2010.06.25.b,2010,Unprovoked,USA,South Carolina,Fripp Island,Boogie Boarding,F,Injured,N,
2010.06.25.a,2010,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Swimming,F,Injured,N,
2010.06.15,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,M,Injured,N,1 m shark
2010.06.10,2010,Unprovoked,USA,Florida,Jacksonville,Boogie Boarding,F,Injured,N,4' shark
2010.06.06,2010,Unprovoked,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",Surfing,M,Severed,N,
2010.06.00,2010,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Surfing,M,Injured,N,
2010.05.30,2010,Provoked,USA,Florida,Off Tarpon Springs,Fishing,M,Injured,N,"Lemon shark, 4'"
2010.05.18.c,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Rescuing,F,Injured,N,20 to 30kg shark
2010.05.18.b,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,F,Severed,N,20 to 30kg shark
2010.05.18.a,2010,Unprovoked,AUSTRALIA,New South Wales,Point Plomer,Surfing,M,Injured,N,
2010.05.03,2010,Unprovoked,MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",Scuba diving,M,Injured,N,
2010.05.01,2010,Unprovoked,USA,Florida,New Smyrna Beach,Wading,F,Injured,N,4' shark
2010.04.28,2010,Provoked,USA,Florida,Hanalei Bay,Measuring sharks,M,Bitten,N,"Lemon shark, 6'"
2010.04.19,2010,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,No injury,N,14' shark
2010.04.13,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,Bitten,N,2 m shark
2010.04.04,2010,Unprovoked,EGYPT,Sinai Peninsula,Sharm el-Sheikh ,Swimming / treading water,M,Injured,N,"Oceanic whitetip shark, 6'"
2010.03.27,2010,Unprovoked,REUNION,Saint-Benoit,Bittern,Surfing,M,No injury,N,1.5 m shark
2010.02.19,2010,Unprovoked,NEW ZEALAND,South Island,Tahunanui Beach,Swimming,M,Injured,N,Possibly a blue shark
2010.02.16,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Surfing,M,Injured,N,3 m shark
2010.02.15,2010,Unprovoked,FIJI,Off Vanua Levu,Nara Reef,Scuba diving,M,Fatal,Y,
2010.02.13,2010,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays",Snorkeling,F,Injured,N,2 m shark
2010.02.11,2010,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,Injured,N,"Wobbegong shark, 1.6m"
2010.02.06.R,2010,Provoked,NEW ZEALAND,South Island,Cosy Nook,Spearfishing,M,No injury,N,2 m to 3 m shark
2010.02.06.b,2010,Unprovoked,AUSTRALIA,New South Wales,Turners' Beach,Body boarding,M,No injury,N,"White shark, 2.5m"
2010.02.06.a,2010,Provoked,USA,Florida,Riviera Beach,Surf fishing / wading,M,Bitten,N,"Spinner shark, 6'"
2010.02.03,2010,Unprovoked,USA,Florida,"Stuart, Martin County",Kite Boarding,M,Fatal,Y,
2010.02.01,2010,Provoked,NEW ZEALAND,South Island,Oreti Beach,Boogie Boarding,F,Unknown,N,1.5 m shark
2010.01.30,2010,Unprovoked,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,M,Bitten,N,Thought to involve a juvenile hammerhead shark
2010.01.27,2010,Unprovoked,AUSTRALIA,Queensland,Archie's Beach,Surfing,M,No injury,N,
2010.01.22.b,2010,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",Surfing,M,Injured,N,
2010.01.22.a,2010,Unprovoked,AUSTRALIA,Victoria,Geelong,Surfing,M,Injured,N,
2010.01.12,2010,Unprovoked,SOUTH AFRICA,Western Province,Fish Hoek,Standing,M,Fatal,Y,White shark
2010.01.09.d,2010,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Snorkeling,F,Injured,N,"Whitetip reef shark, 1m"
2010.01.09.c,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,,F,Injured,N,
2010.01.09.b,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,,M,Bitten,N,
2010.01.09.a,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Bathing,M,Bitten,N,
2010.01.06,2010,Unprovoked,USA,Florida,Elliot Key,Spearfishing,M,Injured,N,
2010.01.05,2010,Unprovoked,SOUTH AFRICA,Eastern Province,"Nahoon, East London",Surfing,M,No injury,N,
2009.12.29,2009,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,Wading,M,Injured,N,
2009.12.26,2009,Provoked,AUSTRALIA,New South Wales,Avoca Beach,Swimming,M,Injured,N,
2009.12.22,2009,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Swimming,M,Injured,N,"Zambesi shark, 2m "
2009.12.20.b,2009,Boat,AUSTRALIA,Queensland,Mudjimba Island,Kayaking,M,No injury,N,
2009.12.20.a,2009,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,Spearfishing,M,Injured,N,"Bull shark, 3m"
2009.12.18,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Paddling on kneeboard,M,Fatal,Y,
2009.12.16,2009,Unprovoked,NEW ZEALAND,South Island,Clark Island,Swimming to shore from capsized kayak,M,Fatal,Y,"White shark, 2.8 to 3 m "
2009.12.13,2009,Unprovoked,AUSTRALIA,New South Wales,Coffee Head,Surfing,M,Injured,N,
2009.12.12,2009,Boat,AUSTRALIA,New South Wales,Hawks Nest Beach,Rowing,0,No injury,N,White shark
2009.12.06,2009,Provoked,USA,New Jersey,"Adventure Aquarium, Camden",Diving,M,Injured,N,"Sandtiger shark, 8'"
2009.11.24,2009,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,M,Bitten,N,6' shark
2009.11.16.b,2009,Unprovoked,USA,California,"Loch Lomond, Marin County",Fishing,M,Injured,N,Thresher shark
2009.11.16.a,2009,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,M,Bitten,N,
2009.11.13,2009,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,F,Bitten,N,
2009.11.11,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,4' shark
2009.11.08,2009,Unprovoked,AUSTRALIA,South Australia,Second Valley,Kayaking,M,Bitten,N,2 m shark
2009.11.05,2009,Unprovoked,USA,California,"Davenport, Santa Cruz County",Surfing,M,No injury,N,
2009.10.30,2009,Unprovoked,AUSTRALIA,Victoria,Portland,Kayaking,M,No injury,N,"White shark, 4m"
2009.10.29.R,2009,Unprovoked,MOZAMBIQUE,Inhambane Province,Off Vilanculo,Spearfishing,M,Bitten,N,Zambesi shark
2009.10.28,2009,Unprovoked,AUSTRALIA,New South Wales,Lennox Heads,Paddle-boarding,F,No injury,N,
2009.10.24,2009,Unprovoked,USA,California,"San Onofre, San Diego County ",Surfing,M,Injured,N,
2009.10.19,2009,Unprovoked,USA,Hawaii,"Kalama Park, Maui",Surfing,M,Bitten,N,6' to 8' shark
2009.10.18,2009,Unprovoked,PANAMA,Bocas,Playa La Cabaña ,Wading,F,Bitten,N,
2009.10.17,2009,Provoked,SCOTLAND,Fife,Deep Sea World Aquarium,Diving,M,Injured,N,Angel shark
2009.10.14.R,2009,Unprovoked,AUSTRALIA,Western Australia,,Diving,M,Severed,N,"Bull shark, 10'"
2009.10.09,2009,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,Injured,N,
2009.10.02,2009,Provoked,UNITED KINGDOM,Devon,Mewstone Rock,Fishing,M,Injured,N,Spurdog
2009.09.26,2009,Unprovoked,USA,Florida,"Key Colony Beach, Monroe County",Swimming,M,Injured,N,"Bull shark, 8'"
2009.09.18,2009,Unprovoked,VIETNAM,,,,M,Bitten,N,
2009.09.15,2009,Provoked,SOMALIA,,300 miles off the coast ,Fishing,M,Bitten,N,
2009.09.13,2009,Provoked,BRAZIL,Pernambuco,"Piedade, Recife",,M,Fatal,Y,
2009.09.07,2009,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife","Swimming, attempting to rescue a girl  believed to be drowning",M,Fatal,Y,
2009.09.01,2009,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)",Fishing,M,Injured,N,
2009.08.30,2009,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,No injury,N,4' shark
2009.08.29,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Glentana,Surfing,M,Fatal,Y,White shark
2009.08.25,2009,Unprovoked,USA,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,F,Injured,N,"White shark, 5' to 6' juvenile "
2009.08.11,2009,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Alkantstrand ,Body boarding,M,No injury,N,"White shark, 2m"
2009.08.10,2009,Unprovoked,USA,Florida,"Ponce, Volusia County",Swimming,M,Injured,N,
2009.08.06,2009,Unprovoked,USA,Hawaii,Kawa'a ,Surfing,M,No injury,N,"Tiger shark, 12"
2009.08.01,2009,Unprovoked,USA,Louisiana,"Curlew Island, Breton Sound",Wade Fishing,M,Bitten,N,Bull shark?
2009.07.31,2009,Unprovoked,BAHAMAS,Abaco Islands,Spanish Cay,Spearfishing,M,Injured,N,Bull shark
2009.07.30,2009,Unprovoked,AUSTRALIA,New South Wales,Broken Head,Surfing,M,Injured,N,
2009.07.29,2009,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,F,Bitten,N,
2009.07.24.R,2009,Unprovoked,KENYA,Mombasa,Likoni Channel,Washing his feet,M,Fatal,Y,
2009.07.24.b,2009,Unprovoked,USA,Texas,South Padre Island,Wading,F,Injured,N,
2009.07.22.b,2009,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Swimming,F,Injured,N,
2009.07.22.a,2009,Unprovoked,USA,Florida,"Intracoastal Waterway,      St. Petersburg",Swimming,F,Injured,N,
2009.07.18,2009,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,M,Severed,N,
2009.07.11.b,2009,Provoked,BAHAMAS,,,Spearfishing,M,Bitten,N,"Caribbean reef shark, 6'"
2009.07.11.a,2009,Unprovoked,USA,California,"San Onofre, San Diego County ",Paddle-surfing,M,No injury,N,5' shark
2009.07.07,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,"Jogensfontein, Stilbaai",Surfing,M,Bitten,N,
2009.07.05,2009,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Boogie Boarding,F,Bitten,N,
2009.07.04,2009,Provoked,USA,Florida,"Biscayne National Park, Miami",Swimming,F,Injured,N,"Nurse shark, 6'"
2009.06.27,2009,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,Injured,N,"Thought to involve a Bronze whale shark, 2m"
2009.06.14.R,2009,Provoked,VIETNAM,,,Fishing for sharks,M,Bitten,N,White shark
2009.06.02.b,2009,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,M,Injured,N,Oceanic whitetip shark
2009.06.02.a,2009,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,M,Injured,N,Oceanic whitetip shark
2009.06.01,2009,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Snorkeling,F,Fatal,Y,"Oceanic whitetip shark, 2.5 to 3m"
2009.05.31,2009,Provoked,TAIWAN,Off Green Island,Onboard the fishing vessel Chin Sheng Fa 13  ,Fishing,M,Injured,N,80 kg shark
2009.05.25,2009,Provoked,USA,Florida,"Clearwater Beach, Pinellas County",Swimming,M,Bitten,N,5' to 8' shark
2009.05.17,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,blacktip or spinner shark
2009.05.16.b,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,blacktip or spinner shark
2009.05.16.a,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,blacktip or spinner shark
2009.05.12,2009,Provoked,GUAM,North Region,Ritidian Point,Spearfishing,M,Bitten,N,"Blacktip shark, 4'"
2009.05.06,2009,Provoked,BAHAMAS,Exuma Islands,,Spearfishing,M,Injured,N,7' shark
2009.04.28,2009,Unprovoked,USA,Florida,"St. Augustine, St. John's County",,F,Injured,N,
2009.04.25.R,2009,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,No injury,N,
2009.04.21,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2009.04.20,2009,Unprovoked,PHILIPPINES,Batangas province,Mabini,Swimming,M,Bitten,N,
2009.04.19,2009,Unprovoked,USA,Florida,"Carlin Park, Jupiter Inlet",Surfing,M,Bitten,N,
2009.04.12,2009,Unprovoked,AUSTRALIA,New South Wales,Fingal Bay,Surf skiing ,M,No injury,N,2' to 3' shark
2009.04.17.,2009,Unprovoked,USA,Florida,"Walton Rocks, St Lucie County",Surfing,M,Injured,N,2' to 3' shark
2009.04.06.a,2009,Unprovoked,USA,California,San Diego County,Spearfishing,M,Injured,N,"White shark, 12' to 15' female"
2009.04.03,2009,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Wading,M,Injured,N,
2009.03.27,2009,Provoked,SOUTH AFRICA,Eastern Cape Province,2-3 km north of Sunday's River mouth,Fishing ,M,Bitten,N,Raggedtooth shark
2009.03.21,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,Fatal,Y,
