,Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Source,Month
4984,1922.12.14,1922,Unprovoked,USA,Puerto Rico,San Juan,Bathing,F,"FATAL, hip & thigh bitten with  tissue removed, including bone ",Y,"L.A. Times, 12/17/1922; V.M. Coppleson (1958), pp.48 & 265",dec
4985,1922.12.05,1922,Unprovoked,AUSTRALIA,Queensland,Pialba Beach near Maryborough,Bathing in 3' to 4' of water,M,"FATAL, severe injuries to torso  ",Y,"Coppleson.Q4.(1933); V.M. Coppleson (1958), pp.92 & 237  ",dec
4986,1922.09.29,1922,Unprovoked,BARBADOS,Lucy,Pie Corner,Fishing,M,FATAL,Y,"Kingston Gleaner, 10/17/1922",sep
4987,1922.10.29,1922,Invalid,AUSTRALIA,New South Wales,"Botany Bay, Sydney",Sailing,M,"FATAL, but shark involvement prior to death unconfirmed",UNKNOWN,"R.D. Weeks, GSAF",oct
4988,1922.09.28,1922,Unprovoked,USA,Hawaii,"Keawanui, Kamalo, Moloka'i","Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",M,Survived,N,"Honolulu Advertiser, 8/19/1953; Tribune Herald (Hilo), 4/14/1963; V.M. Coppleson (1958), p.259; L. Taylor (1993), pp.96-97",sep
4989,1922.09.26.R,1922,Unprovoked,ENGLAND,East Yorkshire,Hornsea,Swimming ,M,FATAL,Y,"Western Argus, 9/26/1922",sep
4990,1922.09.21.R,1922,Boat,USA,Massachusetts,Nahant,Fishing,,"No injury to occupants, shark splintered stern",N,"L. Schultz & M. Malin, p.554",sep
4991,1922.07.19,1922,Unprovoked,USA,Florida,"Pablo Beach, Jacksonville, Duval County",,M,Leg bitten,N,"Palm Beach Post, 7/19/1932",jul
4992,1922.06.17,1922,Unprovoked,USA,Florida,"Municipal Pier, St. Petersburg, Tampa bay",Floating,F,"FATAL, thigh bitten",Y,"V.M. Coppleson, (1958) pp.155 & 252",jun
4993,1922.05.24,1922,Unprovoked,JAMAICA,Westmoreland Parish,Savanna-la-Mar,Swimming,M,"FATAL, arm severed, thigh severely bitten  ",Y,"Daily Gleaner, 5/25/1922; H.E. Lloyd, NY Times, 6/22/1922",may
4994,1922.05.06,1922,Unprovoked,SOUTH AFRICA,Western Cape Province,"Simons Town, False Bay",Swimming,M,Abdomen & thigh bitten,N,"M. Levine, GSAF; E.Wilson",may
4995,1922.04.26,1922,Unprovoked,AUSTRALIA,New South Wales,Hawkesbury River,Swimming,M,FATAL,Y,"Argus, 4/29/1922",apr
4996,1922.03.20,1922,Unprovoked,JAMAICA,Kingston Parish,Kingston Harbor,Fishing,M,Survived,N,"Daily Gleaner, 3/21/1922, p.8",mar
4997,1922.03.13,1922,Unprovoked,JAMAICA,Kingston Parish,Kingston Harbor,Standing,F,"FATAL, right leg severed at thigh ",Y,"Daily Gleaner, 3/21/1922, p.8; H. E. Lloyd, N.Y. Times, 6/22/1922; F.A. Mitchell-Hedges (1928), pp.95-100",mar
4998,1922.03.02,1922,Unprovoked,AUSTRALIA,New South Wales,Coogee,Bathing in knee-deep water,M,"FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene",Y,"V.M. Coppleson.N5. (1933); V.M. Coppleson (1958), pp.63 & 230;  A. Sharpe, pp.56-57; G.A. Llano, pp.160-161",mar
4999,1922.02.22.R,1922,Invalid,AUSTRALIA,New South Wales,"Bilgola Beach, Sydney",Swimming,M,"Disappeared whiile swimming alone, body parts recovered, but shark involvement prior to death unconfirmed",Y,"Cairns Post, 2/33/1922",feb
5000,1922.02.04,1922,Unprovoked,AUSTRALIA,New South Wales,Coogee ,Swimming,M,"FATAL, both arms & shoulder bitten",Y,"V.M. Coppleson.N.4. (1933); V.M. Coppleson (1958), pp.62 & 230; A. Sharpe, pp.53-55",feb
5001,1922.01.28.R,1922,Unprovoked,IRAQ,,Shatt-al Arab River,Bathing,M,FATAL,Y,"The Queenslander, 1/28/1922",jan
5002,1922.01.15,1922,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Swimming ,M,FATAL,Y,"V.M. Coppleson.Q5. (1933); V.M. Coppleson (1958), pp. 90 & 229",jan
5003,1922.01.13,1922,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Standing,M,Small laceration on left thigh & swim costume torn,N,"V.M. Coppleson.N15. (1933); V.M. Coppleson (1958), p.229",jan
5004,1922.01.04,1922,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Surfing,M,"FATAL, disappeared, then his shark-bitten remains washed ashore ",Y,"The Argus, 1/9/1922; V.M. Coppleson (1933), N15",jan
5005,1921.12.11,1921,Unprovoked,AUSTRALIA,Queensland,Fitzroy River at  Rockhampton,Swimming,M,Survived,N,"The Queenslander, 12/17/ 1921",dec
5006,1921.11.27.b,1921,Unprovoked,AUSTRALIA,Queensland,"Gays Corner, Bulimba Reach of Brisbane River",Fell from his father's back into the water,M,"FATAL, disappeared, body not recovered",Y,"V.M. Coppleson (1958), pp.92 & 237",nov
5007,1921.11.27.a,1921,Unprovoked,AUSTRALIA,Queensland,"Gays Corner, Bulimba Reach of Brisbane River","Wading to dinghy, carrying his son",M,"Right hip, buttock, elbow, arm & wrist bitten",N,"V.M. Coppleson.Q3. (1933); V.M. Coppleson (1958), pp.92 & 237",nov
5008,1921.11.15.R,1921,Unprovoked,FIJI,Viti Levu Island,Rewa River,Swimming,,FATAL,Y,"Richmond River Express, 12/2/1921",nov
5009,1921.10.12,1921,Unprovoked,AUSTRALIA,Queensland,Off Hinchinbrook Island,Diving for beche-de-mer ,M,Lacerations to right arm & chest,N,"Brisbane Courier, 10/15/1921",oct
5010,1921.10.04,1921,Unprovoked,AUSTRALIA,Queensland,Barrier Reef,Diving for beche-de-mer,M,"Left thigh bitten, FATAL",Y,"Cairns Post, 10/17/1921",oct
5011,1921.09.00,1921,Provoked,ENGLAND,Dorset,Weymouth,Fishing,M,Leg bitten by shark he was attempting to capture PROVOKED INCIDENT,N,"Argus, 10/8/1921",sep
5012,1921.08.29.R,1921,Unprovoked,AUSTRALIA,Torres Strait,,,M,Lacerations to arm,N,"The Register, 8/29/1921",aug
5013,1921.08.28,1921,Unprovoked,PHILIPPINES,Luzon Island,"Fort Frank, Manila Bay",Swimming,M,"FATAL, abdomen  severely lacerated, taken by seaplane to hospital in Corrigedor but died  ",Y,"New York Times, 9/1/1921",aug
5014,1921.01.11.R,1921,Invalid,PHILIPPINES,"Cavite Province, Luzon",,,,Buttons & shoes found in shark caught in fish trap,UNKNOWN,"Reno Evening Gazette, 1/11/1921",jan
5015,1920.11.29,1920,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Wading,M,Lacerations to leg & hand,N,"Geraldton Guardian, 12/4/1920 ",nov
5017,1920.11.22,1920,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach,Standing,M,"Minor injuries to leg, hand & fingers",N,"Daily News, 11/24/1920",nov
5018,1920.11.04,1920,Sea Disaster,PHILIPPINES,Leyte,,The coastwise steamer San Basilio capsized in a typhoon,,FATAL,Y,"Oakland Tribune, 11/11/1920",nov
5019,1920.07.14,1920,Invalid,USA,New York,"Woodcliff Channel, Freeport, Long Island",Swimming ,M,Thought to have been taken by a shark. Body was not recovered,Y,"V.M. Coppleson (1958), p.151  ",jul
5020,1920.07.05.R,1920,Unprovoked,AUSTRALIA,Torres Strait,200 miles from MacKay,Diving for trochus shell,M,Severe lacerations to right shoulder & arm,N,"Brisbane Courier, 7/6/1920",jul
5021,1920.06.29,1920,Unprovoked,USA,Florida,"Englewood Beach, Charlotte County",Swimming ,M,Knee & thigh bitten,N,E. Clark,jun
5022,1920.06.27,1920,Provoked,CANADA,Halifax,"Slaunwhite's Ledge, Hubbard Cove",Harpooned shark,,"No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT",N,H. Piers (1933),jun
5023,1920.03.08,1920,Unprovoked,AUSTRALIA,Queensland,"Between Bay Rock & Magnetic Island, Cleveland Bay","Boat capsized, swimming to shore",M,"Tossed in air by shark, sustained abrasions",N,"H. Miller (1920); V.M. Coppleson Q.2.(1933); V.M. Coppleson (1958), pp.43, 44, 237; A. Sharpe, p.24",mar
5024,1920.01.24.R.b,1920,Unprovoked,AUSTRALIA,Torres Strait,,Diving,M,Lacerations to foot,N,"The Argus, 1/24/1920",jan
5025,1920.02.03,1920,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Zwartkops River,Floating face down,F,Abdomen bitten,N,"T. Toft, M. Levine, GSAF",feb
5026,1920.01.24.R.a,1920,Unprovoked,AUSTRALIA,Torres Strait,Arlington Reef,Free diving,M,FATAL,Y,"The Argus, 1/24/1920",jan
5027,1920.01.15,1920,Unprovoked,AUSTRALIA,New South Wales,"Throsby Creek, Newcastle",Swimming ,M,Leg bitten. FATAL,Y,"V.M. Coppleson.N14. (1933); V.M. Coppleson (1958), p.229",jan
5031,1919.12.30.R,1919,Unprovoked,AUSTRALIA,Queensland,Brible Island,Swimming,M,Lacerations to left leg,N,"Brisbane Courier, 12/30/1919",dec
5032,1919.12.07,1919,Unprovoked,AUSTRALIA,New South Wales,"Pelican Island, Macleay River",Swimming,M,"FATAL, left leg & calf bitten, leg surgically amputated ",Y,"Sydney Morning Herald, 12/9/1919; V.M. Coppleson.N.20.(1933",dec
5033,1919.11.18,1919,Unprovoked,AUSTRALIA,Northern Territory,Darwin,Sitting in a boat,M,Lacerations to buttocks,N,G.P. Whitley; V.M. Coppleson (1933) ,nov
5034,1919.09.12,1919,Unprovoked,COSTA RICA,Turtle Bogue,Where Colorado River enters the sea,Small vessel with 13 men on board capsized crossing the bar and 6 men drowned.  The 7 survivors were swimming to shore,M,"FATAL, 6 men were taken by sharks as they neared the beach, 1 survived",Y,"Pinchot, p.85-86",sep
5035,1919.08.10,1919,Unprovoked,USA,Florida,"Gadsden Point, Tampa Bay",Swimming,M,Laceration to left thigh,N,"Miami Metropolis, 8/14/1919",aug
5036,1919.05.29,1919,Unprovoked,USA,South Carolina,"James Island Sound, Charleston","""Swimming vigorously""",M,Left foot bitten & abraded,N,E. M. Burton,may
5037,1919.04.06,1919,Unprovoked,USA,Florida,"Florida Keys 25ºN,82ºW",Knocked into the water,M,FATAL,Y,"Gazette (Pittsburgh), no date",apr
5038,1919.03.16,1919,Invalid,AUSTRALIA,New South Wales,Sydney Harbor,Cutter capsized,M,Shark involvement not confirmed,UNKNOWN,"The Mercury, 3/18/1919",mar
5039,1919.01.17,1919,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,Swimming,M,"Multiple injuries, left leg surgically amputated at knee",N,"V.M. Coppleson.N13. (1933); V.M. Coppleson (1958), p.76 & 229",jan
5040,1919.01.15,1919,Unprovoked,NEW ZEALAND,South Island,"Tahuna Beach, Nelson",Swimming,F,Leg bitten,N,"Marlborough Express, 1/16/1919",jan
5041,1919.01.09,1919,Unprovoked,AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",Wading,M,"FATAL, right thigh bitten ",Y,"T. Peake, GSAF; V.M. Coppleson.N1.(1933); V.M. Coppleson (1958), pp.70 & 229;  A. Sharpe, p.71",jan
5042,1919.01.05,1919,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Wading (shrimping),M,"FATAL, thigh bitten, leg amputated ",Y,"V.M. Coppleson.Q1.(1933); V.M. Coppleson (1958), pp.90 & 237",jan
5045,1918.11.00.b,1918,Unprovoked,USA,Hawaii,Papaikou plantation ,Fishing,M,FATAL,Y,"Ogden Examiner, 12/15/1918",nov
5046,1918.11.00.a,1918,Sea Disaster,SAN DOMINGO,60 miles north of San Domingo in the West Indies,Muchoir Banks,Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.,M,"FATAL, ""men snatched from rafts by sharks""   ",Y,"V.M. Coppleson (1958), p.194; V.M. Coppleson (1962), p.210",nov
5047,1918.09.19,1918,Unprovoked,AUSTRALIA,Queensland,Townsville,Bathing,M,FATAL,Y,"Cairns Post, 9/24/1918",sep
5048,1918.03.22,1918,Unprovoked,AUSTRALIA,New South Wales,Newcastle,Surfing,M,"Severe laceration to arm, necessitating surgical amputation at the elbow",N,"The Advertiser, 3/25/1918",mar
5050,1917.12.15,1917,Unprovoked,AUSTRALIA,Western Australia,Port Hedland,Swimming,M,Lacerations to left leg,N,"West Australian, 12/17/1917",dec
5051,1917.11.00,1917,Unprovoked,MOZAMBIQUE,Maputo Province,Off Inhaca Island,Wreck of the tug Magellan,M,FATAL,Y,C.J. McGuinness,nov
5052,1917.09.21,1917,Unprovoked,USA,New Jersey,"Sea Bright, Monmouth County","Swimming, towing an empty barrel",M,Left knee lacerated,N,"V.M. Coppleson (1958), p.251 ",sep
5053,1917.09.09,1917,Provoked,USA,Hawaii,"Nanakuli, Oahu",Stuffing a shark into an automobile,M,Arm severely lacerated by shark that had been hooked and shot PROVOKED INCIDENT,N,"Ogden Standard, 9/11/1917",sep
5054,1917.09.00,1917,Unprovoked,PANAMA,Colon,,Swimming to shore from the Medic,M,FATAL,Y,"Morwell Advertiser & Gazette, 1/18/1918",sep
5055,1917.07.18,1917,Unprovoked,USA,Florida,Florida Keys ,Diving,M,FATAL,Y,"Washington Post, 7/20/1917",jul
5056,1917.07.15,1917,Sea Disaster,IRELAND,Off Ireland,82 miles from Fastnet,Ship Mariston torpedoed & sunk,M,"FATAL, only 1 survivor",Y,"Western Mail,  11/9/1917",jul
5057,1917.06.03,1917,Unprovoked,USA,South Carolina,Calibogue Sound,Swimming beside launch,M,Right arm bitten,N,"C. Creswell, GSAF; V.M. Coppleson (1958), pp.153, 154 & 251; NY Times 6/4/1917, p.9 ",jun
5058,1917.05.31,1917,Unprovoked,PHILIPPINES,Luzon Island,Canacao Bay,Swimming,M,"FATAL, abdominal cavity removed ",Y,"P.F. Prioleau; W.E., p.195; V.M. Coppleson (1958), p.264",may
5059,1917.05.05,1917,Unprovoked,KUWAIT,,,Diving for pearls,M,Torso bitten,N,"Denton Journal, 5/5/1917",may
5061,1916.12.30,1916,Unprovoked,AUSTRALIA,Queensland,"Yeppoon, near Ross Creek",Bathing,M,Right calf bitten,N,"Morning Bulletin, 1/1/1917",dec
5062,1916.12.08.b,1916,Unprovoked,AUSTRALIA,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",Taking wife to beach & about 1 m from the shore,M,"FATAL, right arm severed, chest punctured ",Y,"G.P. Whitley, ref. Dr. Cleland, 1924; V.M. Coppleson (1962), p.79; A. Sharpe, p.71",dec
5063,1916.12.08.a,1916,Unprovoked,AUSTRALIA,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",Swimming 10 m from shore,F,Leg nipped by shark,N,"A. Sharpe, p.71",dec
5064,1916.11.15,1916,Provoked,PANAMA,,Panama Canal,,M,"""Severely bitten""",N,"Hartford Courant, 11/16/1916",nov
5065,1916.11.10,1916,Unprovoked,AUSTRALIA,Queensland,Townsville,Swimming,M,FATAL,Y,"Cairns Post, 11/11/1916",nov
5066,1916.11.09,1916,Unprovoked,AUSTRALIA,Queensland,"Kissing Point Camp, Townsville",Bathing,M,FATAL,Y,"Brisbane Courier, 11/10/1916",nov
5067,1916.10.11,1916,Provoked,USA,Florida,"Sewells Point, near Palm Beach","Fishing, attempted to take a netted shark",M,"FATAL, leg severely bitten, surgically amputated PROVOKED INCIDENT",Y,"V.M. Coppleson (1958), p.251; R.F. Hutton; NY Times, 10/12/1916, p.8 ",oct
5068,1916.08.24,1916,Unprovoked,USA,Louisiana,Grand Lake,Netting shrimp,M,Lower left leg severely bitten & became septic. Not known if he survived,N,"The News, 8/15/1916",aug
5069,1916.07.26,1916,Unprovoked,USA,North Carolina,"Atlantic, near New Bern, Craven County",Fishing,M,Arm severely lacerated,N,"C. Creswell, GSAF",jul
5070,1916.07.13.b,1916,Invalid,USA,New York,"Sheepshead Bay, Brooklyn",Swimming,F,"No attack,  no injury",N,"New York Times, 7/14/1916",jul
5071,1916.07.13,1916,Unprovoked,USA,New York,"Sheepshead Bay, Brooklyn",Swimming,M,Ankle bruised,N,"NY Tribune, 7/14/1916",jul
5072,1916.07.12.c,1916,Unprovoked,USA,New Jersey,"In Matawan Creek, off NJ Clay Company brickyards at Cliffwood, Monmouth County, 9.5 miles from the sea, Monmouth County",Swimming,M,"Lower left leg bitten, surgically amputated",N,"R. Fernicola, GSAF",jul
5073,1916.07.12.b,1916,Unprovoked,USA,New Jersey,"Matawan Creek, 10 miles from the sea, Monmouth County",Swimming (recovering remains of Stilwell) ,M,"FATAL, thigh bitten ",Y,"R. Fernicola, GSAF",jul
5074,1916.07.12.a,1916,Unprovoked,USA,New Jersey,"Matawan Creek, 10 miles from the sea, Monmouth County",Swimming,M,"FATAL, legs & torso bitten ",Y,"R. Fernicola, GSAF ",jul
5075,1916.07.11,1916,Sea Disaster,BAHAMAS,,50 miles off Bahamas,S.S. Ramos foundered in a hurricane. Captain & 14 crew in water-logged lifeboats. ,M,"FATAL.  When the survivors were rescued next day they were clubbing sharks with oars. ""Sharks were so thick that it was difficult to row""",Y,"NY Times, 7/18/1916",jul
5076,1916.07.08,1916,Unprovoked,SPAIN,Gran Canaria,Las Palmas,Diving,M,Survived,N,C. Moore,jul
5077,1916.07.07,1916,Unprovoked,PHILIPPINES,Luzon Island,"Olongapo Harbor, Subic Bay",Bathing,M,Right foot severed,N,"The Sun, 12/16/1917",jul
5078,1916.07.06,1916,Unprovoked,USA,New Jersey,"Spring Lake, Monmouth County",Swimming,M,FATAL,Y,"R. Fernicola, GSAF",jul
5079,1916.07.01,1916,Unprovoked,USA,New Jersey,"Beach Haven, Ocean County",Swimming,M,"FATAL, left leg bitten",Y,"R. Fernicola, GSAF",jul
5080,1916.06.30,1916,Unprovoked,USA,New Jersey,"Atlantic City, Atlantic County",Swimming,M,Heel bitten,N,C. Phinizy,jun
5081,1916.06.24.R,1916,Unprovoked,ATLANTIC OCEAN,,,Jumped overboard from Norwegian steamship Venator,M,Presumed FATAL,Y,"Washington Post, 6/24/1916, p.6",jun
5082,1916.06.23,1916,Provoked,USA,Florida,,,M,Leg bitten by shark hooked shark PROVOKED INCIDENT,N,"New York Times, 6/29/1916",jun
5083,1916.04.25.R,1916,Unprovoked,AUSTRALIA,New South Wales,Manley Beach,Swimming,M,FATAL,Y,"Modesto Evening News, 4/25/1916",apr
5084,1916.04.03,1916,Unprovoked,AUSTRALIA,Victoria,Carrum,Clinging to overturned rowing boat,M,FATAL,Y,"Argus, 3/5/1917",apr
5085,1916.03.19,1916,Unprovoked,AUSTRALIA,New South Wales,Curl Curl,Bathing,M,Minor lacerations to heel,N,"Argus, 4/21/1916",mar
5086,1915.12.09.R,1915,Unprovoked,AUSTRALIA,Torres Strait, Thursday Island,Diving,M,"Arm severed, lacerations to thigh",N,"Big Piney Examiner, 12/9/1915",dec
5087,1915.11.10,1915,Unprovoked,AUSTRALIA,Queensland,"Cabbage Tree Creek, Sandgate",Bathing,M,Severe bite to arm,N,"Argus, 11/11/1915",nov
5088,1915.11.08,1915,Unprovoked,AUSTRALIA,New South Wales,Manly,Bathing,M,Severe lacerations to feet & ankles,N,"Sydney Morning Herald, 11/9/1915; V.M. Coppleson (1962), p.245 ",nov
5089,1915.08.03,1915,Unprovoked,USA,Florida,"St. Augustine, St Johns County",,M,Laceration to left leg,N,,aug
5090,1915.07.06.a.R,1915,Unprovoked,MEXICO,Tamaulipas,Tampico,Fishing,M,FATAL,Y,"Oakland Tribune, 7/6/1915",jul
5091,1915.07.06.a.R,1915,Unprovoked,MEXICO,,Santa Maria Bar,Wading,M,FATAL,Y,"Oakland Tribune, 7/6/1915",jul
5092,1915.05.15.R,1915,Invalid,EGYPT,,Alexandria,Fell overboard,M,Shark involvement not confirmed,Y,"C. Moore, GSAF",may
5093,1915.03.29,1915,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Skin diving for trepang but at surface next to the boat,M,"Shoulder bitten. Hana, one of the rescuers, fended shark off with an oar, then shark bit oar in two",N,"N. Bartlett, pp.234",mar
5094,1915.02.06,1915,Unprovoked,AUSTRALIA,Queensland,Wynnum-Manley,Swimming,M,Foot bitten,N,"Brisbane Courier, 2/8/1915",feb
5095,1915.01.13,1915,Invalid,NEW ZEALAND,North Island,Otaki,Fishing,M,Death may have been due to drowning,Y,"The Mercury, 1/14/1915",jan
5096,1915.01.01,1915,Unprovoked,AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",Bathing,M,FATAL,Y,"G.P. Whitley, citing Argus (Melbourne) 1/5/1915; V.M. Coppleson (1958), p.70",jan
5098,1914.12.04.R,1914,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Swimming,M,Lacerations to right thigh and knee,N,"Northern Miner, 12/4/1914",dec
5099,1914.10.17,1914,Sea Disaster,SAMOA,Apolima Strait,Opposite Apelima &  Manona,Copra vessel with 19 on board was wrecked in a squall,F,Thigh bitten,N,"Evening Post, 12/2/1914",oct
5100,1914.09.26.R,1914,Unprovoked,JAMAICA,Kingston Parish,Port Royal,Fell overboard,M,FATAL,Y,"Stevens Point Daily Journal, 9/26/1914, p.2 ",sep
5101,1914.09.09,1914,Unprovoked,USA,Louisiana,Lake Pontchartrain,Swimming,M,FATAL,Y,"Washington Post, 9/10/1914, p.6",sep
5102,1914.07.15.R,1914,Unprovoked,CROATIA,Zadar County,Biograd na moru,Washing clothes,F,"No injury, shark grabbed clothes",N,"C. Moore, GSAF",jul
5103,1914.07.09.R,1914,Provoked,USA,Louisiana,New Orleans,Fishing,M,PROVOKED INCIDENT    Legs severed by shark entangled in his net,N,"Lima Daily News, 7/9/1914",jul
5104,1914.07.07,1914,Unprovoked,CROATIA, Primorje-Gorski Kotar County,Rijeka,,M,"No injury, shark nudged raft and circled for 2 hrs.",N,"C. Moore, GSAF",jul
5105,1914.06.12,1914,Boat,MONTENEGRO,Adriatic Sea,Between St. Stjepan and Budva,Fishing boat,M,"No injury, shark bit paddle and stern of boat",N,"C. Moore, GSAF",jun
5106,1914.06.10,1914,Unprovoked,AUSTRALIA,Victoria,Sandringham,Bathing,M,FATAL,Y,"Evening Post, 6/11/1914",jun
5107,1914.05.31,1914,Sea Disaster,NEW CALEDONIA,South Province,Noumea,Swimming ashore from swamped 13-ft boat,M,FATAL x 2,Y,"The Mercury, 6/23/1914",may
5108,1914.05.14,1914,Provoked,USA,Florida,"Boca Ciega Bay, Pinellas County",Fishing,F,PROVOKED INCIDENT Lacerations to right hand by hooked shark,N,"Evening Independent, 5/14/1914, p.1",may
5109,1914.03.14.R,1914,Invalid,USA,Florida,"St. Augustine, St Johns County",Swimming,M,His remains were recovered from a shark 3 years after his disappearance - Probable drowning / scavenging,Y,"Washington Post, 3/14/1914, p.E9",mar
5110,1914.03.03,1914,Unprovoked,USA,Hawaii,"Honomu, Hawai'i",Washed into sea while picking opihi & attacked by 2 large sharks ,M,FATAL,Y,C.H. Townsend,mar
5111,1914.02.09.R,1914,Unprovoked,AUSTRALIA,South Australia,Marion Bay,Wading,M,Lacerations to foot,N,"The Advertiser, 2/10/1914",feb
5112,1914.02.03,1914,Unprovoked,AUSTRALIA,New South Wales,Paramatta River,Canoeing,M,Lacerations to arms,N,"Oakland Tribune, 3/241914, p.22",feb
5113,1914.01.17.R,1914,Unprovoked,AUSTRALIA,Queensland,Brisbane,Wading,F,Laceration to leg,N,"The Queenslandert , 1/17/1914",jan
5115,1913.12.30.R,1913,Provoked,USA,Florida,"Palm Beach, Palm Beach County",Fishing for mackerel,,No injury to occupants but hull splintered by harpooned shark PROVOKED INCIDENT,N,"New Smyrna Daily News, 1/2/1914, p.12",dec
5116,1913.11.27,1913,Unprovoked,NIGERIA,Lagos ,Lagos,Boat swamped,M,FATAL,Y,"The Times (London), 7/21/1914, p.7; Lima Daily News, 1/10/1914",nov
5117,1913.11.21,1913,Unprovoked,AUSTRALIA,Queensland,"Sandgate Jetty, Brisbane",Swimming,M,Calf severely bitten;  leg surgically amputated,N,"Sydney Morning Herald, 11/24/1913 ",nov
5118,1913.09.21,1913,Unprovoked,USA,Florida,"West Palm Beach, Palm Beach County",,M,Major injuries but survived,N,"V.M. Coppleson (1958), p.251; T. Helm, p.212",sep
5119,1913.09.03,1913,Provoked,CROATIA,Istria County,Pula,,M,Badly bitten by a shark dragged onboard PROVOKED INCIDENT,N,"C.Moore, GSAF",sep
5120,1913.08.27.R,1913,Invalid,USA,New Jersey,"Lavalette, Ocean County",,M,Man's leg recovered from 800-lb shark,UNKNOWN,"Trenton Evening Times, 8/27/1913",aug
5121,1913.08.27.R,1913,Invalid,USA,New Jersey,"Spring Lake, Monmouth County",,F,Female foot recovered from shark,UNKNOWN,"Washington Post, 8/27/1913",aug
5122,1913.08.26.R,1913,Invalid,ITALY,Trieste,,,,Human casualties,Y,"C. Moore, GSAF",aug
5123,1913.07.12,1913,Unprovoked,USA,South Carolina,Charleston,,M,FATAL,Y,"C. Creswell, GSAF",jul
5125,1913.05.02,1913,Provoked,AUSTRALIA,New South Wales,,Hauling in net,M,Lacerations to thigh by netted shark PROVOKED INCIDENT,N,"Northern Star, 5/7/1913",may
5126,1913.03.27,1913,Unprovoked,SAMOA,Upolu Island,Apia Harbor,,M,Leg severed,N,"Coppleson (1962), p.247",mar
5127,1913.01.00,1913,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Diving,M,"Head, neck & left shoulder bitten",N,"N. Bartlett, pp.232-233; V.M. Coppleson (1958), p.7 ",jan
5131,1912.08.30,1912,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Swimming,M,FATAL,Y,"Atlanta Constitution, 8/31/1912, p.5",aug
5132,1912.07.23,1912,Unprovoked,USA,South Carolina,Sullivan's Island,Swimming,M,Toes severed,N,"Atlanta Constitution, 7/25/1912",jul
5133,1912.07.06.R,1912,Unprovoked,SOLOMON ISLANDS,Central Province,Savo,Bathing,M,FATAL,Y,"Sydney Morning Herald, 7/6/1912",jul
5134,1912.05.04,1912,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,,M,,UNKNOWN,"M. Levine, GSAF",may
5135,1912.03.18,1912,Unprovoked,NEW ZEALAND,North Island,Takapuna,Swimming,M,"""Slight laceration to leg""",N,"Evening Post, 3/20/1912",mar
5136,1912.02.22,1912,Provoked,AUSTRALIA,Western Australia,Bunbury,Hard hat diving,M,"No injury, shark nipped diving suit after he prodded the shark PROVOKED INCIDENT ",N,"Western Argus, 2/27/1912",feb
5137,1912.02.19,1912,Unprovoked,AUSTRALIA,New South Wales,Coogee,Swimming,M,Left calf & heel bitten,N,"Argus (Melbourne) 2/20/1912, p.6; G.P. Whitley, p.260",feb
5138,1912.02.03,1912,Unprovoked,NEW CALEDONIA,South Province,Noumea,Swimming,M,Left shoulder & both legs bitten,N,"Northern Star, 3/16/1912",feb
5139,1912.01.26,1912,Unprovoked,AUSTRALIA,New South Wales,"Fig Tree Bridge, Lane Cove River, near Sydney ",Swimming,M,FATAL,Y,"Argus (Melbourne) 1/27, 28, 29, 30/1912; G.P. Whitley, p.260; V.M. Coppleson (1962), p.245;  A. Sharpe, p.88",jan
5140,1912.01.13.R,1912,Unprovoked,FIJI,Viti Levu group,Beqa,Washed overboard,M,FATAL,Y,"Clarence & Richmond Examiner, 1/13/1912",jan
5141,1912.01.06,1912,Unprovoked,AUSTRALIA,New South Wales,Sydney Harbor,,M,Thigh & lower abdomen severely bitten,N," V.M. Coppleson (1933), page 450, citing J. Burton Cleland Australasian Medical Gazette, September 14, 1912, page 270",jan
5142,1912.01.01,1912,Unprovoked,AUSTRALIA,Queensland,Ross Creek,Bathing,M,FATAL,Y,"Argus, 1/2/1912",jan
