,Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Source,Month
1054,2008.04.08.R,2008,Unprovoked,USA,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,,Foot bitten,N,"News 13,4/8/2008",apr
1055,2008.04.08,2008,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Body boarding,M,FATAL,Y,"T. Peake, GSAF; NSW Police Force",apr
1056,2008.04.03,2008,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,Right foot & ankle bitten,N,"S. Petersohn, GSAF ",apr
1057,2008.03.28.c,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Fishing from surfski,M,Right leg bitten,N,"C. Johansson, GSAF",mar
1058,2008.03.28.b,2008,Unprovoked,USA,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,M,Foot bitten,N,"S. Petersohn, GSAF ",mar
1059,2008.03.25,2008,Unprovoked,USA,Florida,"Palm Beach Shores, Palm Beach County",Wading,M,Shin bitten,N,"The Plain Dealer, 4/1/2008",mar
1060,2008.03.23,2008,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,Three small lacerations/ punctures to right foot,N,"S. Petersohn, GSAF ",mar
1061,2008.03.21,2008,Unprovoked,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,M,Two 3-inch lacerations to right ankle,N,"S. Petersohn, GSAF ",mar
1062,2008.03.15,2008,Unprovoked,USA,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,M,Minor injury,N,News-Press.com ,mar
1063,2008.03.07,2008,Unprovoked,USA,California," Huntington Beach, Orange County",Surfing,M,"No injury to surfer, surfboard bitten by the shark",N,R. Collier,mar
1064,2008.02.24,2008,Unprovoked,BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,M,"Leg bitten, FATAL",Y,"Sun-Sentinel, 2/25/2008",feb
1065,2008.02.21.R,2008,Unprovoked,FRENCH POLYNESIA,Society Islands,Tahiti,Spearfishing,M,Lacerations to face,N,"Independent News Online, 2/21/2008",feb
1066,2008.02.15,2008,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Lacerations to foot,N,"S. Petersohn, GSAF",feb
1067,2008.02.07,2008,Unprovoked,AUSTRALIA,New South Wales,Horseshoe Bay,Surfing,F,Abrasions to elbow; collided with shark,N,"T. Peake, GSAF",feb
1068,2008.02.06,2008,Unprovoked,USA,Florida,"Opposite Patrick Air Force Base, Brevard County",Surf-skiing,M,Lacerations to foot,N,"Vero Beach Press Journal, 2/7/2008",feb
1069,2008.01.29,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Surf-skiing,M,"No injury to surf-skiier, shark holed ski",N,"The Mercury, 2/1/2008",jan
1070,2008.01.27,2008,Provoked,AUSTRALIA,Queensland,200 km east of Coolangatta  ,Accidentally stood on hooked shark's tail before attempting to gut it ,M,Laceration to left knee PROVOKED INCIDENT,N,News.com.au,jan
1071,2008.01.19.R,2008,Invalid,NEW ZEALAND,South Island,Marfells Beach,Wading,M,"Stingray envenomation, not a shark",N,"R.D. Weeks, GSAF",jan
1072,2008.01.14,2008,Boat,NEW ZEALAND,North Island,Omaha Beach,Attempting to chase shark out to sea,,"No injury to occupants, pontoon punctured",N,"TV3; R.D. Weeks, GSAF",jan
1073,2008.01.10,2008,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,Left foot bitten,N,"Forida Today, 1/18/2008; Channel 9 News",jan
1076,2007.12.21,2007,Unprovoked,ECUADOR,Galapagos Islands,San Cristobal Island,Surfing,M,Lacerations & puncture wounds  to left thigh,N,"R. D. Weeks, GSAF; Radio New Zealand",dec
1077,2007.12.19,2007,Invalid,BRITISH VIRGIN ISLANDS,Green Bay,,Scuba diving,M,Shark bites were post-mortem,Y,"C. Johannson, GSAF",dec
1078,2007.12.18,2007,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,M,Severe lacerations to right buttock,N,"Daily Telegraph, 12/18/2007",dec
1079,2007.12.15,2007,Unprovoked,AUSTRALIA,Queensland,South Stradbroke Island,Swimming,M,Lacerations to hand,N,goldcoast.com.au,dec
1080,2007.12.14,2007,Invalid,AUSTRALIA,New South Wales,Bondi ,Swimming,M,Lacerations to left forearm,N,"Sydney Morning Herald, 12/16/2007",dec
1081,2007.12.10,2007,Unprovoked,USA,Hawaii,"Waialua Bay, O'ahu",Surfing,M,"No injury, shark bit surfboard ",N,"Honolulu Advertiser, 12/12/2007",dec
1082,2007.12.09,2007,Unprovoked,NEW ZEALAND,South Island,Kaikoura,Surfing,F,"No injury, shark bit surfboard & severed leash",N,"NZ Herald, 12/11/2007",dec
1083,2007.12.07,2007,Unprovoked,BRAZIL,Pernambuco,Itamaracá,Removing fish from a trap,M,20 cm injury to left foot,N,"JC online, 12/8/2007",dec
1084,2007.11.18,2007,Provoked,AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham,Fishing,M,Minor injury to finger by netted shark PROVOKED INCIDENT,N,"thewest.com.au, 11/19/2007",nov
1085,2007.11.08,2007,Unprovoked,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing,M,"No injury, teethmarks in board & torn wetsuit",N,"Northern Star, 11/10/2007",nov
1086,2007.11.07,2007,Unprovoked,SOUTH AFRICA,Western Cape Province,The Strand,Surfing,M,Lacerations to feet,N,"The Times (Cape Town), 11/9/2007",nov
1087,2007.11.06,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Cut to right knee,N,"S. Petersohn; GSAF' Central Florida News, 11/7/2006",nov
1088,2007.11.04,2007,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,M,Lacerations to right leg,N,"T.C. Palm, 11/4/2007 & 11/5/2007",nov
1089,2007.11.03,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Surfing,M,Lacerations to thigh,N,Daily Dispatch,nov
1090,2007.11.00,2007,Invalid,MEXICO,Baja California,Guadalupe Island,Shark diving,M,White shark breached cage. No injury to occupants,N,Today Show,nov
1091,2007.10.29,2007,Unprovoked,USA,Hawaii,"Wailea, Maui",Floating,M,Lacerations to left lower leg,N,KHNL8.com,oct
1092,2007.10.15,2007,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,F,small laceration to wrist,N,"Sydney Morning Herald, 10/15/2007",oct
1093,2007.10.13,2007,Unprovoked,AUSTRALIA,Queensland,Holmes Reef,Spearfishing,M,Laceration to calf,N,"news.com.au, 10/14/2007",oct
1094,2007.10.07,2007,Unprovoked,USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,M,4 scratches on left hand,N,R. Collier,oct
1095,2007.10.06,2007,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,Severe lacerations to right hand,N,E. H.,oct
1096,2007.09.30.c,2007,Unprovoked,USA,California,"Santa Monica, Los Angeles County",Surfing,M,Puncture wound to foot,N,R. Collier,sep
1097,2007.09.30.b,2007,Sea Disaster,PHILIPPINES,Palawan,Off Cagayancillo,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas ",M,"FATAL        Only 4 of the 18 on board were rescued, some of the missing were allegedly killed by sharks",Y,"Cebu Daily News, 10/3/2007",sep
1098,2007.09.30.a,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,F,FATAL,Y,"Les Nouvelles Caledoniennes, 10/1/2007 ",sep
1099,2007.09.28,2007,Unprovoked,BAHAMAS,Grand Bahama Island,Sweetings Cay,Spearfishing,F,Thigh bitten,N,"A. Brenneka, SharkAttackSurvivors.com",sep
1100,2007.09.27.b,2007,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,F,"No injury to surfer, surfboard bitten",N,R. Collier,sep
1101,2007.09.27.a,2007,Unprovoked,EGYPT,Red Sea,Daedalus Reef ,Swimming,F,"Severe lacerations to lower left leg, ankle and foot",N,"E. Ritter & Y. Sobolev, GSAF; M. Salem ",sep
1102,2007.09.22.b,2007,Invalid,USA,Florida,Jupiter Inlet,Scuba diving,F,Shark involvement prior to death unconfirmed,Y,"Florida Today, 12/14/2007",sep
1103,2007.09.22.a,2007,Unprovoked,USA,Florida,Huguenot Park,Surfing,F,Laceration to foot,N,"R.Duffy, First Coast News. 9/23/2007",sep
1104,2007.09.20,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Small lacerations to bottom of right big toe,N,"S. Petersohn, GSAF",sep
1105,2007.09.17,2007,Unprovoked,SOLOMON ISLANDS,Marovo Lagoon,Kicha Island,Spearfishing,M,Left thigh bitten,N,L. Choquette,sep
1106,2007.09.16.b,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading?,M,Laceration to right heel,N,"S. Petersohn, GSAF",sep
1107,2007.09.16.a,2007,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,F,"No injury, surfboard bitten",N,wsbtv.com,sep
1108,2007.09.13,2007,Unprovoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,M,"Minor injury, shark latched onto his abdomen",N,"Miami Herald, 9/13/2007; Sun-Sentinel, 9/14/2007",sep
1109,2007.09.08,2007,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Wading,F,Puncture wounds & 2-inch laceration to calf,N,"First Coast News, 9/11/2007",sep
1110,2007.09.05,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,Laceration to right big toe,N,"S. Petersohn, GSAF",sep
1111,2007.09.04,2007,Unprovoked,USA,South Carolina,Sullivan's Island,Standing,M,Lacerations to left calf and both feet ,N,"C. Creswell, GSAF; J. Johnson, Post and Courier, 9/26/2007",sep
1112,2007.09.03.b,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Jumping,F,Tiny punctures to arm,N,"S. Petersohn, GSAF",sep
1113,2007.09.03.a,2007,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Swimming,M,"3"" laceration to left forearm",N,"S. Wyman, Sun-Sentinel, 9/3/2007; Local10.com",sep
1114,2007.08.28.b,2007,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Body boarding,M,Laceration to right heel,N,"Honolulu Advertiser, 8/29/2007",aug
1115,2007.08.28.a,2007,Unprovoked,USA,California,"Marina State Beach, Monterey County",Surfing,M,Lacerations to thigh & torso,N,R. Collier,aug
1116,2007.08.26,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Left hand  bitten,N,"S. Petersohn, GSAF ",aug
1117,2007.08.25,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M, 6 lacerations to left hand,N,"S. Petersohn, GSAF; WESH 2 News",aug
1118,2007.08.22,2007,Provoked,USA,North Carolina,North Carolina Aquarium at Fort Fisher,Diving,M,Minor injury from captive shark PROVOKED INCIDENT,N,"Clay Creswell, GSAF; WECT TV6",aug
1119,2007.08.20,2007,Provoked,USA,Delaware,"Indian River Inlet, Rehoboth Beach",Fishing,M,Forearm bitten by hooked shark PROVOKED INCIDENT,N,"Delaware Coast Press, 8/24/2007",aug
1120,2007.08.19.c,2007,Unprovoked,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,M,Torso bitten,N,"Miami Herald, 8/20/2007",aug
1121,2007.08.19.b,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Foot bitten,N,"S. Petersohn, GSAF",aug
1122,2007.08.19.a.,2007,Unprovoked,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing,M,Right calf bitten,N,"C. Creswell, GSAF",aug
1123,2007.08.15,2007,Unprovoked,USA,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,M,Puncture wounds to torso,N,"Charlotte Observer, 8/18/2007",aug
1124,2007.08.12,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,"Minor injury, small lacerations to right foot",N,"S. Petersohn, GSAF",aug
1125,2007.08.11,2007,Unprovoked,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,"Minor injury, lacerations to left ankle & foot ",N,"S. Petersohn, GSAF",aug
1126,2007.08.09.b,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,Lacerations to right foot,N,"C. Creswell, GSAF",aug
1127,2007.08.09.a,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,M,Lacerations to lower leg & ankle,N,"C. Creswell, GSAF",aug
1128,2007.08.07,2007,Unprovoked,USA,Florida,"Islamorada, Monroe County",Jumped into the water,F,Lacerations to arm,N,"Miami Herald, 8/8/2007",aug
1129,2007.07.29,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Minor injury to shoulder,N,"S. Petersohn, GSAF",jul
1130,2007.07.28,2007,Unprovoked,USA,California,"Imperial Beach, San Diego County",Surfing,M,"No injury, shark bit surfboard",N,R. Collier,jul
1131,2007.07.22,2007,Unprovoked,USA,California,"Malibu, Los Angeles County",Surf paddling,M,"No injury, surfboard bumped by shark for 20 minutes",N,R. Collier,jul
1132,2007.07.21,2007,Boat,USA,California,"Bean Hollow State Beach, San Mateo County",Kayak Fishing,M,"No injury, kayak bitten",N,"R. Collier; San Francisco Chronicle, 7/23/2007; NorCal Kayak Anglers",jul
1133,2007.07.19.b,2007,Unprovoked,USA,Hawaii,"Bellows Beach near Wailea Point, Oahu",Snorkeling,M,Left calf severely bitten,N,"Honolulu Advertiser, 7/20/2007; Honolulu Star Bulletin, 7/20/2007",jul
1134,2007.07.19.a,2007,Unprovoked,AUSTRALIA,Territory of Cocos (Keeling) Islands,Direction Island,Wading,M,Calf bitten,N,"The Western Australian, 7/20/2007",jul
1135,2007.07.18.b,2007,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow  County",Swimming,M,Right calf bitten,N,"C. Creswell, GSAF",jul
1136,2007.07.18.a,2007,Provoked,NORWAY,Oslo Fjord,Sjøstrand,Scuba diving,M,PROVOKED INCIDENT           No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm,N,"Aftenposten, 7/18/2007",jul
1137,2007.07.17.b,2007,Invalid,USA,California,"Faria Beach, Ventura County",Swimming,F,Foot injured. Shark involvment uncomfirmed,N,R. Collier,jul
1138,2007.07.17.a,2007,Unprovoked,USA,North Carolina,"Atlantic Beach, Carteret County",Wading,F,Lacerations to right thigh & left foot,N,"C. Creswell, GSAF",jul
1139,2007.07.10,2007,Unprovoked,BAHAMAS,Abaco Islands,Allan-Pensacola Cay,Spearfishing,F,"Lacerations to thumb, ring and pinky fingers of right hand ",N,J. Regan,jul
1140,2007.07.05,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Right foot bitten,N,"S. Petersohn, GSAF",jul
1141,2007.07.04,2007,Unprovoked,REUNION,,Boucan Canot,Body boarding,M,Minor injuries to thigh & knee ,N,"clicanoo.com, 7/5/2007",jul
1143,2007.06.30.b,2007,Provoked,USA,Florida,Marques Island,Removing hook from shark,M,Lacerations to right  hand by hooked shark PROVOKED INCIDENT,N,S. Gruber; SharkAttackSurvivors.com,jun
1144,2007.06.30.a,2007,Unprovoked,USA,California,"Will Rogers State Beach, Los Angeles County",Swimming,F,Hand bitten,N,R. Collier,jun
1145,2007.06.25,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6 to 8 puncture wounds to right hand,N,"S. Petersohn, GSAF",jun
1146,2007.06.24,2007,Unprovoked,USA,Hawaii,"Silva's Channel, Mokuleia, O'ahu",Surfing,M,"No injury, board damaged",N,"G. Lee, KGMB9.com",jun
1147,2007.06.17,2007,Invalid,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,F,Superficial injuries to upper leg may have been caused by surfboard fin,N,"St Augustine Record, 6/19/2007",jun
1148,2007.06.12,2007,Unprovoked,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",Swimming,F,Right foot bitten,N,"R.B. Hackney, Sun-Sentinel, 7/13/2007",jun
1149,2007.06.05,2007,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Crescent Head",Surfing,M,Lacerations to leg & ankle,N,"S. Williams, Daily Telegraph, 6/7/2007",jun
1150,2007.05.26,2007,Unprovoked,USA,South Carolina,Garden City,Wading,F,Lacerations to lower leg,N,"C. Creswell, GSAF; Hilton Head Island Packet, 5/27/2007",may
1151,2007.05.24,2007,Provoked,USA,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach ",Reviving a sedated shark,F,Left shin bitten by captive shark PROVOKED INCIDENT,N,WAVY-TV10-News,may
1152,2007.05.17.R,2007,Provoked,ENGLAND,Kent,Folkestone,Fishing,M,Bitten on the nose by a hooked shark PROVOKED INCIDENT,N,"V. Wheeler, The Sun, 5/17/2007",may
1153,2007.05.16,2007,Unprovoked,AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",Wading,F,Left heel & calf bitten,N,"The Western Australian, 5/16/2007",may
1154,2007.05.12,2007,Unprovoked,AUSTRALIA,Victoria,Warrnambool,Surfing,M,"No injury, shark's fin caught his leg",N,"The Standard, 5/15/2007",may
1155,2007.05.10,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,Knee bitten,N,J. Manis,may
1156,2007.05.09.R,2007,Unprovoked,SEYCHELLES,Bird Island,,Snorkeling,M,No injury,N,Seychelles Forum,may
1157,2007.05.08,2007,Invalid,AUSTRALIA,New South Wales,Kingscliff Beach,Swimming,M,Shark involvement prior to death unconfirmed,Y,"NineMSNews, 5/10/2007",may
1158,2007.05.07.b,2007,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Snorkeling,F,Right foot bitten,N,"G. Kubota, Honolulu Star Bulletin, 5/8/2007",may
1159,2007.05.07.a,2007,Unprovoked,USA,Florida,Naples,Swimming,M,Circular bite on left thigh,N,"Naples News, 5/10/2007",may
1160,2007.05.04,2007,Sea Disaster,TURKS & CAICOS,Providenciales,,Sea Disaster,,Some of the bodies recovered had been bitten by sharks,Y,CNN,may
1161,2007.05.00,2007,Provoked,BAHAMAS,Bimini Islands,,Shark tagging,F,Lacerations to right upper arm by captive shark PROVOKED INCIDENT,N,S. Garcia,may
1162,2007.04.26,2007,Unprovoked,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,F,Lower leg & foot injured,N,"news.com.au, 4/29/2007",apr
1163,2007.04.22,2007,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,M,Left foot bitten,N,"Sun-Sentinel, 4/23/2007",apr
1164,2007.04.20,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations to left index finger & thumb ,N,"Florida Today, 4/21/2007",apr
1165,2007.04.13.R,2007,Boat,USA,Florida,"Florida Keys, Monroe County",Fishing,,"No injury to occupants, shark holed the transom-mounted livewell ",N,"Florida Today, 4/13/2007; A. Brenneka",apr
1166,2007.04.09,2007,Unprovoked,NEW CALEDONIA,South Province,Dumbéa,Surfing,M,Left foot bitten,N,"Les Nouvelles Calédoniennes, 4/11/2007",apr
1167,2007.04.01,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing on a sandbar,M,Lacerations & puncture wounds to right calf,N,"S. Petersohn, GSAF; WESH 2, 4/1/2007; Local6news.com, 4/3/2007",apr
1168,2007.03.31.b,2007,Unprovoked,USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,M,Lacerations to right ankle ,N,"Palm Beach Post, 3/31/2007; Sun Sentinel, 4/3/2007",mar
1169,2007.03.31.a,2007,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St. Lucie County",,M,Minor cuts to right buttock & thigh,N,"Palm Beach Post, 3/31/2007",mar
1170,2007.03.22,2007,Unprovoked,YEMEN,Muhafazat Hadramawt,Ras-Alkalb,Murder,,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,"United Nations High Commission for Refugees, 3/26/2007",mar
1171,2007.03.21,2007,Unprovoked,USA,Florida,Jupiter Inlet,Surfing,M,Punctures & lacerations to right calf & calf,N,"TCPalm, 3/23/2007 ",mar
1172,2007.03.20,2007,Unprovoked,AUSTRALIA,New South Wales,South Golden Beach,Surfing,F,Lacerations to 3 fingers of left hand ,N,"Gold Coast Bulletin, 3/21/2007",mar
1173,2007.03.14.R,2007,Provoked,USA,Florida,Delray Beach,Shark fishing,M,Right hand bitten by hooked shark PROVOKED INCIDENT,N,Associated Press,mar
1174,2007.03.12,2007,Unprovoked,AUSTRALIA,Queensland,"Moore Park, north of Bundaberg",Swimming,F,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",N,ABC News Online,mar
1175,2007.03.11,2007,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,M,Lacerations to right forearm & hand,N,"J. Ashton, T.C. Palm, 3/12/2007",mar
1176,2007.03.05.R,2007,Provoked,NEW ZEALAND,Cook islans,Penhryn Island,Spearfishing,M,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,N,"R. Weeks, GSAF",mar
1177,2007.02.04,2007,Invalid,COSTA RICA,,,Swimming,M,Death due to drowning. Shark bite may have been postmortem,Y,"The Argus, 3/2/2007",feb
1178,2007.02.03,2007,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Boogie Boarding,M,Lacerations to  lower left leg & ankle ,N,"P. Immerz, SharkProject; P. Kemp, GSAF",feb
1179,2007.02.00,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,Ouvéa,Spearfishing,M,Survived,N,"Les Nouvelles Caledoniennes, ",feb
1180,2007.01.25.b,2007,Unprovoked,NEW CALEDONIA,North Province,Kaala-Gomen ,Spearfishing (free diving),M,Leg bitten,N,"Les Nouvelles Caledoniennes, 1/29/2007",jan
1181,2007.01.25.a,2007,Boat,USA,Florida,100 miles off Ft. Myers Beach,Shrimping,,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",N,"P. Morales, News-Press, 2/5/2007",jan
1182,2007.01.23,2007,Unprovoked,AUSTRALIA,New South Wales,Cape Howe,Diving,M,Head & torso bitten,N,"NZ Herald, 1/23/2007",jan
1183,2007.01.19,2007,Invalid,AUSTRALIA,New South Wales,Brunswick Heads,Swimming,M,Shark involvement prior to death unconfirmed,Y,"Northern Star, 1/24/2007",jan
1184,2007.01.14,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming / Body Surfing,M,"Presumed FATAL, body not recovered",Y,"G. Cliff, Natal Sharks Board; East London Dispatch, 1/18/2007",jan
1185,2007.01.09,2007,Unprovoked,AUSTRALIA,New South Wales,Sandbar Beach,Surfing,M,"No injury, shark damaged surfboard",N,"J. Watson, Great Lakes Your Guide",jan
1186,2007.01.07,2007,Invalid,USA,New York,"Smith Point, Long Island",Surfing,M,No injury,N,W. Brodsky,jan
1187,2007.01.05,2007,Unprovoked,USA,Hawaii,"Majors Bay, Kaua'i",Surfing,M,"No injury, shark removed piece of surfboard",N,"P. Immerz, SharkProject.org; J. TenBruggencate, Honolulu Advertiser, 1/5/2007",jan
1188,2006.12.18,2006,Unprovoked,AUSTRALIA,Victoria,"Winki Pop, Bells Beach",Surfing,M,Left leg bitten,N,"P. Kemp, GSAF",dec
1189,2006.12.11,2006,Unprovoked,NEW ZEALAND,North Island,"Raglan, Manu Bay",Surfing,M,Foot bitten,N,"R.D. Weeks, GSAF",dec
1190,2006.12.10,2006,Unprovoked,USA,California,"Dillon Beach, Marin County",Surfing,M,"Minor injuries, surfboard bitten",N,"P. Immerz; R. Collier; San Francisco Chronicle, 12/11/2006 ",dec
1191,2006.12.06,2006,Provoked,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,Fishing,M,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N,"C. Johansson; Pretoria News, 12/8/2006",dec
1192,2006.12.02,2006,Unprovoked,AUSTRALIA,Western Australia,Wharton Beach,Body boarding,M,"Right leg severed, left leg lacerated",N,"P. Kemp, GSAF, Sunday Mail, 12/3/2006",dec
1193,2006.11.25,2006,Sea Disaster,PHILIPPINES,Surigao del Norte,"Off Bilisan Point, Hinatuarn Island",Sea Disaster,,15 perished but shark involvement prior to death was not confirmed,Y,"Manila Bulletin Online, 11/27/2006",nov
1194,2006.11.11,2006,Unprovoked,USA,Hawaii,"Kihei, Maui",Swimming,M,Laceration to left thigh & left hand,N,"Honolulu Advertiser, 11/12/2006; B. Nicholson",nov
1195,2006.11.09,2006,Provoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Canoeing,M,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N,"P. Immerz, SharkProject",nov
1196,2006.10.31,2006,Unprovoked,USA,Oregon,"Siletz River mouth, Lincoln County",Surfing,M,"No injury, surfboard bitten",N,R. Collier,oct
1197,2006.10.16,2006,Unprovoked,USA,Florida,Sebastian Inlet,Fishing,M,Lower right leg and foot bitten,N,"K. Kridel, Herald Tribune, 10/21/2006",oct
1198,2006.10.10,2006,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,Left ankle bitten,N,"S. Petersohn, GSAF",oct
1199,2006.10.07,2006,Unprovoked,USA,Texas,"Isla Blanca Park, South Padre Island",Surfing,M,Lacerations to lower left leg,N,"M. Martinez, KGBT4",oct
1200,2006.10.05,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing soccer in the water,M,Lacerations to foot,N,"S. Petersohn, GSAF",oct
1201,2006.10.00.b,2006,Unprovoked,BAHAMAS,New Providence Island,Nassau,Free diving / modeling,F,Puncture wounds to left foot,N,"J. Lambiet, Palm Beach Post, 10/22/2006",oct
1202,2006.10.00.a,2006,Unprovoked,GULF OF ADEN,Between Somalia & Yemen,,Murder,,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,"United Nations High Commission for Refugees, 10/20/2006",oct
1203,2006.09.30,2006,Invalid,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing,M,No injury; 4m white shark made a threat display,N,"Cape Argus, 10/2/2006",sep
1204,2006.09.29,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Big toe bitten,N,"S. Petersohn, GSAF",sep
1205,2006.09.18.R,2006,Provoked,USA,Florida,"Off Key Largo, Monroe County",Diving / Kissing the shark,M,Lacerations to upper lip    PROVOKED INCIDENT,N,"CBS-4, 9/18/2006",sep
1206,2006.09.16,2006,Unprovoked,USA,North Carolina,Onslow Beach,Surfing,M,Laceration to left thigh,N,"C. Creswell, GSAF",sep
1207,2006.09.14,2006,Unprovoked,USA,Florida,"Singer Island, Riviera Beach",Swimming,M,Minor injury to left hand,N,WFTV.com,sep
1208,2006.09.11,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Left torso grazed,N,"S. Petersohn, GSAF",sep
1209,2006.09.04,2006,Invalid,AUSTRALIA,Queensland,Great Barrier Reef  ,Diving,M,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",Y,"Sydney Morning Herald, CNN & internet",sep
1211,2006.09.03.a,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,Puncture wounds and cuts to right thigh,N,"S. Petersohn, GSAF",sep
