,Date,Year,Type,Country,Area,Location,Activity,Age,Injury,Fatal (Y/N),Female,Male
1886,05-Aug-99,1999,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Spearfishing & holding catch,35,Right arm bitten,N,0,1
1887,29-Jul-99,1999,Unprovoked,SOUTH AFRICA,Western Cape Province,Kogebaai,Surfing,42,Right thigh bitten,N,0,1
1888,26-Jul-99,1999,Unprovoked,USA,Florida,"Two miles off Key Colony Beach, Monroe County",Swimming with dolphins,43,Ankle bitten,N,0,1
1889,21-Jul-99,1999,Unprovoked,USA,Hawaii,Honoli'i in Hilo (west side of Big Island),Surfing,43,Right thigh & buttock bitten,N,0,1
1890,15-Jul-99,1999,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay (near Knysna),Boogie boarding,14,FATAL,Y,0,1
1891,06-Jul-99,1999,Unprovoked,USA,South Carolina,Charleston,NO DATA,0,Five cuts on his heel,N,0,1
1892,04-Jul-99,1999,Unprovoked,USA,Florida,"Pensacola  Beach, Escambia County",Wading in school of baitfish,30,Lacerations knee to ankle,N,1,0
1893,03-Jul-99,1999,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Cintsa East, East London",Surfing,29,Leg & board bitten,N,0,1
1894,19-Jun-99,1999,Unprovoked,USA,Florida,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",Adrift in a life jacket,20,9-inch gash in left foot ,N,0,1
1895,17-Jun-99,1999,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,21,Right hand and wrist lacerated,N,0,1
1896,12-Jun-99,1999,Unprovoked,USA,Florida,"Atlantiic Beach, Duval County",Swimming,41,8-inch bite on calf,N,0,1
1897,09-Jun-99,1999,Unprovoked,USA,Florida,"Atlantic Dunes Park, Delray Beach, Palm Beach County",Splashing / wading,5,Knee lacerated,N,0,1
1898,29-May-99,1999,Unprovoked,AUSTRALIA,South Australia,"Hardwicke Bay, Yorke Peninsula",Windsurfing,22,"FATAL, body not recovered",Y,0,1
1899,01-May-99,1999,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,21,Leg & hands bitten,N,0,1
1900,22-Apr-99,1999,Unprovoked,MAURITIUS,Grand Baie,Pointe aux Canonniers,Swimming,41,Thigh bitten,N,1,0
1901,11-Apr-99,1999,Unprovoked,REUNION,L' Etang Salé-les-Bains,Roche-aux-Oiseaux,Swimming after being swept into sea by a large wave,52,FATAL,Y,0,1
1902,01-Apr-99,1999,Unprovoked,USA,Florida,"Hobe Sound Beach, Palm Beach County",Surfing,14,Ankle bitten,N,0,1
1903,Reported 18-Mar-1999 ,1999,Unprovoked,NEW ZEALAND,South Island,Codfish Island (Whenua Hau) west of Stewart Island,Spearfishing & diving for paua,0,No injury,N,0,1
1904,18-Mar-99,1999,Provoked,BRAZIL,Rio Grande de Norte,Atol das Rochas,Scientific research (Dr. Sonny Gruber's student),0,Grabbed small shark & it bit him  PROVOKED INCIDENT,N,0,1
1905,18-Mar-99,1999,Unprovoked,USA,Hawaii,"Olowalu side of Lahina, Maui ","Swimming, towing a kayak",29,"FATAL, arm bitten ",Y,1,0
1906,14-Mar-99,1999,Unprovoked,NEW CALEDONIA,Loyalty Islands,Ouvea,Spearfishing,0,Multiple injuries,N,0,1
1907,14-Mar-99,1999,Provoked,NEW ZEALAND,NO DATA,NO DATA,Fishing,28,Right thigh bitten PROVOKED INCIDENT,N,0,1
1908,08-Mar-99,1999,Unprovoked,USA,Hawaii,"Kealia Beach, Kaua'i",Body surfing or body boarding,18,Bruised right leg,N,0,1
1909,05-Mar-99,1999,Unprovoked,USA,Hawaii,"Quarter mile offshore in Kaanapali, West Maui",Swimming near pod of whales,29,Tissue removed knee to thigh,N,1,0
1910,26-Feb-99,1999,Boat,USA,North Carolina,Frying Pan Shoals,Cruising,0,"No injury to occupants, boat sank after colliding with shark",N,0,0
1911,23-Feb-99,1999,Unprovoked,AUSTRALIA,New South Wales,Scotts Head,Surfing,35,"Left hand & forearm bitten, board bitten",N,0,1
1912,03-Feb-99,1999,Unprovoked,USA,Florida,"Hobe Sound, Martin County",Surfing,25,Left hand bitten,N,0,1
1913,29-Jan-99,1999,Unprovoked,MAURITIUS,NO DATA,Belle-Mare,Spearfishing,47,Legs & torso injured,N,0,1
1914, 13-Jan-1999,1999,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Beach,Paddle Skiing,0,"No Injury, ski bitten",N,0,1
1915,01-Jan-99,1999,Boat,NEW ZEALAND,North Island,"Papamoa, near Tauranga, Bay of Plenty",Inflatable boat,0,No injury to occupant: boat lost,N,0,0
1916,Reported 03-Jan-1999,1999,Invalid,AUSTRALIA,Northern Territory,Gulf of Carpenteria,Fishing,37,"Cut foot, but injury caused by fishing line, not the shark",N,1,0
1917,03-Jan-99,1999,Unprovoked,REUNION,Saint-Leu,Pointe au Sel,Spearfishing,0,FATAL,Y,0,0
1918,1999,1999,Unprovoked,SOUTH AFRICA,Western Cape Province,"Hospital Rock, Dyers Island",Spearfishing,30,Heel lacerated,N,0,1
1919,1999,1999,Invalid,USA,Virginia,"Sandridge Beach, Virginia Beach, Princess Anne County",Body surfing,0,Abrasions,N,0,1
1920,24-Dec-98,1998,Provoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,19,Left foot bitten after he accidentally stepped on the shark         PROVOKED INCIDENT ,N,0,1
1921,22-Dec-98,1998,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Standing,21,2 puncture wounds in left leg,N,1,0
1922,Reported 20-Dec-1998,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",Surfing,18,Leg bitten,N,0,1
1923,18-Dec-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Splashing,14,Right leg bitten,N,0,1
1924,15-Dec-98,1998,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Surfing,21,Leg injured,N,1,0
1925,21-Nov-98,1998,Unprovoked,USA,Florida,"Ocean Beach, Jaycee Park, Vero Beach, Indian River County",Swimming,9,FATAL,Y,0,1
1926,14-Nov-98,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,14,Right foot bitten,N,0,1
1927,11-Nov-98,1998,Unprovoked,USA,Florida,"South Beach Park, Indian River County",Walking,13,Survived,N,0,1
1928,05-Nov-98,1998,Unprovoked,USA,Oregon,Winchester Bay,Surfing,32,No injury,N,0,1
1929,02-Nov-98,1998,Provoked,JAPAN,Southern Japan,460 miles off Iwakuni,Fishing for tuna,52,PROVOKED INCIDENT    Knee bitten by shark trapped in net,N,0,1
1930,02-Nov-98,1998,Unprovoked,BRAZIL,Pernambuco," Boa Viagem Beach, Recife",Surfing,22,"FATAL, left forearm severed  ",Y,0,1
1931,24-Oct-98,1998,Unprovoked,USA,Florida,"Jupiter Beach, Palm Beach County",Swimming,17,Minor lacerations on right ankle & foot,N,1,0
1932,18-Oct-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Glengariff,Surfing,30,"No injury, surfboard bitten",N,0,1
1933,10-Oct-98,1998,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River County",Surfing,0,Right hand bitten,N,0,1
1934,04-Oct-98,1998,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,17,Right leg bitten,N,0,1
1935,01-Oct-98,1998,Unprovoked,REUNION,Saint-Benoît,NO DATA,Diving,0,Survived,N,0,0
1936,01-Oct-98,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",NO DATA,28,2 one-inch lacerations in left foot,N,0,1
1937,27-Sep-98,1998,Unprovoked,USA,Florida,"The Rocks, Hutchinson Island, Martin County",Surfing,6,Puncture wounds to leg,N,0,1
1938,22-Sep-98,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,18,Left arm lacerated,N,0,1
1939,Reported 16-Sep-1998,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kowie River,Fishing / washing bait off hands,0,Laceration to right foot,N,0,1
1940,14-Sep-98,1998,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,28,Right foot bitten,N,0,1
1941,Sep-98,1998,Provoked,SENEGAL,Cap Vert Peninsula,Yoff Island,Spearfishing,25,Bitten by harpooned shark PROVOKED INCIDENT,N,0,1
1942,30-Aug-98,1998,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,26,Toes lacerated,N,0,1
1943,27-Aug-98,1998,Invalid,ITALY,Marches region,12 miles off Senigallia (Adriatic Sea),Fishing,0,"No injury; no attack, shark ate the bait hanging over the side of the boat",N,0,0
1944,26-Aug-98,1998,Unprovoked,USA,California,"Stinson Beach, Marin County",Boogie boarding,16,"Thigh, buttocks & lower back lacerated",N,0,1
1945,Reported      23-Aug-1998,1998,Unprovoked,USA,Virginia,Virginia Beach,Spearfishing,0,Lacerations to left hand,N,0,1
1946,15-Aug-98,1998,Unprovoked,BAHAMAS,Berry Islands,Ambergris Cay,Spearfishing,28,Calf bitten,N,0,1
1947,13-Aug-98,1998,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Body-boarding,11,Left calf injured,N,0,1
1948,12-Aug-98,1998,Provoked,SOUTH AFRICA,Transvaal,"National Zoological Gardens Aquarium, Pretoria",Moving a shark in a net ,0,Lacerations to right shin  PROVOKED INCIDENT,N,0,1
1949,01-Aug-98,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,"Buffalo Bay, near Knysna",Surfing (or body boarding),19,Legs bitten,N,0,1
1950,01-Aug-98,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Pringle Bay,Spearfishing,24,Leg bitten,N,0,1
1951,26-Jul-98,1998,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,0,Lacerations to left foot,N,0,1
1952,25-Jul-98,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,13,Calf bitten,N,0,1
1953,06-Jul-98,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Wading,47,Right leg bitten,N,0,1
1954,11-Jul-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,16,Knee bitten,N,0,1
1955,06-Jul-98,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Surfing,10,Right leg bitten,N,0,1
1956,28-Jun-98,1998,Unprovoked,AUSTRALIA,South Australia,South Neptune Island,Free diving for abalone,26,"FATAL, left thigh and lower leg severely injured  ",Y,0,1
1957,22-Jun-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Gonubie, 13 km northeast of East London",Body Boarding,20,"FATAL, hands & calf bitten  ",Y,0,1
1958,08-Jun-98,1998,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,18,"2-inch laceration on dorsum of foot, 1-inch laceration on sole.",N,0,1
1959,05-Jun-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,0,Survived,N,0,1
1960,30-May-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Pollock Beach,Surfing,17,Minor laceration on foot,N,0,1
1961,29-May-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Sardinia Bay near Port Elizabeth,Body boarding,15,Right shoulder & arm bitten,N,0,1
1962,29-May-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Body boarding,16,Leg bitten,N,0,1
1963,25-May-98,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,40,4 lacerations on the sole of his right foot,N,0,1
1964,16-May-98,1998,Unprovoked,USA,Florida,"Pecks Lake, Martin County",Swimming,14,Ankle & foot bitten,N,1,0
1965,16-May-98,1998,Unprovoked,USA,Florida,"Walden Rocks, St. Lucie County",Swimming / surfing,24,Left arm & wrist lacerated,N,0,1
1966,16-May-98,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Keurbooms,Body boarding,22,"Lower legs bitten, foot severed",N,0,1
1967,26-Apr-98,1998,Unprovoked,MOZAMBIQUE,Gaza,"Bilene Bay, 180 km north of Maputo",Towing rubber dinghy,35,"FATAL, torso & abdomen bitten, forearm severed ",Y,1,0
1968,21-Apr-98,1998,Unprovoked,USA,Oregon,Gleneden Beach,Surfing (lying prone on his board),50,Right thigh bitten,N,0,1
1969,17-Apr-98,1998,Provoked,USA,Florida,"Marathon, Monroe County",Scuba diving,16,"He grabbed shark's tail, shark bit his chest & held on.  PROVOKED INCIDENT",N,0,1
1970,01-Apr-98,1998,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming ,0,FATAL,Y,0,1
1971,Apr-98,1998,Unprovoked,NEW CALEDONIA,NO DATA,Île de Sable,NO DATA,0,Calf bitten,N,0,0
1972,31-Mar-98,1998,Unprovoked,USA,Florida,"Jensen Beach Park, Martin County",Swimming,40,Heel lacerated,N,0,1
1973,15-Mar-98,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Saldanha Bay,Snorkeling – hunting crayfish and abalone,33,Lower leg lacerated,N,0,1
1974,08-Mar-98,1998,Unprovoked,USA,Florida,"Loggerhead Park, Juno Beach, Palm Beach County",Swimming or paddle boarding,32,6 puncture wounds to right calf,N,0,1
1975,23-Feb-98,1998,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,0,Hands bitten,N,0,1
1976,Reported 28-Jan-1998,1998,Invalid,AUSTRALIA,New South Wales,Whale Beach,Spearfishing,31,"Missing, thought to have been taken by a shark",Y,0,1
1977,Jan-98,1998,Unprovoked,NEW CALEDONIA,South Province,l'Anse-Vata,Windsurfing,0,"No injury, board bumped & fin damaged",N,0,1
1978,25-Jan-98,1998,Unprovoked,REUNION,Grand'Anse,NO DATA,Bathing,0,FATAL,Y,0,1
1979,25-Jan-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,21,Calf & foot lacerated,N,0,1
1980,17-Jan-98,1998,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Surfing,0,20 punctures in right foot,N,0,1
1981,14-Jan-98,1998,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Surfing,23,Leg bitten,N,0,1
1982,1998,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Hole-in-the Wall,Surfing,28,FATAL,Y,0,1
1983,1998,1998,Unprovoked,REUNION,Beaufonds,NO DATA,Diving,0,FATAL,Y,0,0
1984,1998,1998,Unprovoked,USA,Virginia,"Wreck of the Navy Barge, 22 miles SE of Rudee ",Spearfishing on scuba & transferring fish onto a stringer,0,Shark grasped diver's gloved hand. Glove was soaked with fish blood & slime,N,0,1
1985,28-Dec-97,1997,Unprovoked,SOUTH AFRICA,Western Cape Province,"Pringle Bay, 44 miles southeast of Cape Town",Spearfishing,39,FATAL,Y,0,1
1986,28-Dec-97,1997,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Sitting on surfboard,0,Calf bitten,N,0,1
1987,25-Dec-97,1997,Invalid,USA,Florida,"Fort Lauderdale, Broward County",NO DATA,29,"Ankle bitten, but shark involvement unconfirmed",N,1,0
1988,25-Dec-97,1997,Unprovoked,USA,Florida,"Hollywood Beach, Broward County",Swimming,8,Left leg gashed knee to ankle,N,0,1
1989,09-Nov-97,1997,Unprovoked,AUSTRALIA,Western Australia,Albany,Scuba diving (submerged riding a scooter),42,Left arm lacerated when shark grabbed scooter,N,0,1
1990,Reported 05-Nov-1997,1997,Unprovoked,USA,Florida,NO DATA,Swimming,32,Thigh bitten,N,0,1
1991, 05-Nov-1997,1997,Invalid,AUSTRALIA,New South Wales,Botany Bay?,Unknown,21,5 m white shark obsrved feeding on remains 6 days later,Y,0,1
1992,28-Oct-97,1997,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Surf-skiing,51,"Sierakowski suffered a minor facial injury, ski bitten in half by shark",N,0,1
1993,28-Oct-97,1997,Unprovoked,USA,Hawaii,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island",Body boarding or surfing,19,"Both legs bitten, right leg severed at mid-calf & defense wounds on right hand",N,0,1
1994,24-Oct-97,1997,Unprovoked,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",Surfing,23,"5"" gash in foot",N,0,1
1995,21-Oct-97,1997,Unprovoked,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",Surfing,12,Left foot bitten,N,0,1
1996,Reported 11-Oct-1997,1997,Boat,SOUTH AFRICA,Eastern Cape Province,Off Port Alfred,Fishingat,0,"No injury, hooked shark bit their 4.8 m inflatable boat",N,0,0
1997,04-Oct-97,1997,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,14,Laceration & 3 puncture wounds to anterior right thigh,N,1,0
1998,16-Sep-97,1997,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,20,FATAL,Y,0,1
1999,09-Sep-97,1997,Unprovoked,USA,Florida,Volusia County  ,Surfing,12,Laceration to right foot,N,0,1
2000,08-Sep-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,17,2 small lacerations to bottom of foot,N,0,0
2001,06-Sep-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,20,Lacerations to lower left leg,N,0,1
2002,30-Aug-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,18,Lacerations on right ankle & heel,N,0,1
2003,27-Aug-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Walking / surfing,22,"2"" laceration on left heel",N,0,1
2004,24-Aug-97,1997,Unprovoked,USA,California,"Clam Beach, near Eureka, Humboldt County",Surfing (sitting on his board),29,Leg & hand bitten,N,0,1
2005,14-Aug-97,1997,Invalid,MEXICO,Quintana Roo,"Santa Rosa, Cozumel",SCUBA diving,28,FATAL,Y,0,1
2006,14-Aug-97,1997,Unprovoked,MEXICO,Quintana Roo,"Santa Rosa, Cozumel",SCUBA diving,33,"FATAL, arm & leg severed ",Y,0,1
2007,11-Aug-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Floating on raft,12,Small lacerations on right lower leg,N,1,0
2008,11-Aug-97,1997,Unprovoked,EGYPT,Red Sea,Safaga,Fishing,17,Seriously injured,N,0,1
2009,11-Aug-97,1997,Unprovoked,EGYPT,Red Sea,Safaga,Fishing,16,FATAL,Y,0,1
2010,10-Aug-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,17,Lacerations to foot,N,0,1
2011,09-Aug-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,0,Lacerations to right foot,N,0,1
2012,05-Aug-97,1997,Unprovoked,USA,Texas,"East Beach, Galveston",Wading,10,Wrist & am bitten,N,1,0
2013,04-Aug-97,1997,Unprovoked,USA,Florida,"Carysfort Lighthouse, Key Largo, Monroe County",Wade-fishing,0,Left forearm & wrist bitten,N,0,1
2014,02-Aug-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,17,Top of left foot bitten,N,0,1
2015,02-Aug-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading / Surfing,19,Top of left foot bitten,N,0,1
2016,27-Jul-97,1997,Unprovoked,AUSTRALIA,Queensland,"Pincushion, north of Maroochydore Beach",Surfing,19,Leg lacerated,N,0,1
2017,21-Jul-97,1997,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Breezy Point, Ntlonyana",Surfing,25,FATAL,Y,0,1
2018,17-Jul-97,1997,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,0,Survived,N,0,1
2019,14-Jul-97,1997,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Standing,50,Left calf bitten,N,0,1
2020,12-Jul-97,1997,Unprovoked,OKINAWA,Miyako,Hirara,Fishing for octopus,55,"FATAL, legs severed  ",Y,0,1
2021, 2-Jul-1997,1997,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,0,Right thigh bitten,N,0,0
2022,24-Jun-97,1997,Unprovoked,USA,Hawaii,"Sunset Beach, Oahu",Spearfishing / night diving,0,Leg bitten just above ankle,N,0,1
2023,15-Jun-97,1997,Unprovoked,FIJI,Taveuni,Off a small island 5 km from Garden Island Resort,Snorkeling,47,"Bitten on inner thigh, leg surgically amputated",N,1,0
2024,09-Jun-97,1997,Unprovoked,USA,Florida, Palm Beach County,Surfing,18,Laceration to left upper arm,N,0,1
2025,07-Jun-97,1997,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana, Rio de Janeiro",Bathing,0,FATAL,UNKNOWN,0,1
2026,02-Jun-97,1997,Unprovoked,USA,Florida,"Daytona Beach Shores,  Volusia County","Body surfing, stood up on sandbar",33,4 lacerations above left ankle,N,0,1
2027,31-May-97,1997,Unprovoked,USA,Florida,In Gulf of Mexico 17 miles off Weeki Wachee ,Spearfishing,35,Right thigh punctured,N,0,1
2028,31-May-97,1997,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,34,Left elbow bitten,N,0,1
2029,31-May-97,1997,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,12,Left ankle bitten,N,0,1
2030,26-May-97,1997,Unprovoked,BAHAMAS,Abaco Islands,Powell Cay,Spearfishing,54,Right arm bitten,N,0,1
2031,17-May-97,1997,Unprovoked,BAHAMAS,Abaco Islands,Walkers Cay,Spearfishing,0,Leg bitten,N,0,1
2032,20-Apr-97,1997,Unprovoked,BRAZIL,Rio de Janeiro,"Manguinhos, Ilha Feia, Búzios",Windsurfing,22,Lower left leg & ankle bitten,N,0,1
2033,28-Feb-97,1997,Unprovoked,AUSTRALIA,Queensland,"Carrara, Nerang River",Swimming,21,Left leg biten,N,1,0
2034,28-Feb-97,1997,Unprovoked,AUSTRALIA,Queensland,Whitsunday Passage,Scuba diving,30,Left arm bitten,N,0,1
2035,21-Feb-97,1997,Unprovoked,USA,Hawaii,"Sunset Beach, O'ahu",NO DATA,0,No details,UNKNOWN,0,1
2036,20-Feb-97,1997,Unprovoked,REUNION,L'Etang-Sale,NO DATA,NO DATA,0,Hand injured,N,0,1
2037,03-Feb-97,1997,Boat,AUSTRALIA,New South Wales,"Iron Cove, Sydney",Rowing ,49,"Bruised, when shark struck scull & catapulted her into the water",N,1,0
2038,25-Jan-97,1997,Unprovoked,AUSTRALIA,Queensland,"Whitehaven Beach, Whitsundays Island",Snorkeling,27,"Left leg lacerated, punctures to right leg",N,0,1
2039,20-Jan-97,1997,Unprovoked,AUSTRALIA,Western Australia,Geraldton,Windsurfing,41,"Presumed fatal, no body recovered, shark mutilated wetsuit & harness recovered ",Y,0,1
2040,03-Jan-97,1997,Unprovoked,REUNION,NO DATA,la Pointe-au-Sel,Spearfishing,0,FATAL,Y,0,1
2041,01-Jan-97,1997,Boat,AUSTRALIA,Victoria,"Seal Rocks, Phillip Island",Watching seals,0,"No injury to occupants, shark bit 2 of the dinghy's 3 floation chambers",N,0,0
2042,29-Dec-96,1996,Unprovoked,AUSTRALIA,Queensland,Coolum Beach,Surfing,18,FATAL,UNKNOWN,0,1
2043,10-Dec-96,1996,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Duck Pond, Sardina Bay near Port Elizabeth",Surfing,0,Elbow bitten,N,0,1
2044,Dec-96,1996,Unprovoked,NEW CALEDONIA,NO DATA,NO DATA,Spearfishing,0,"Presumed fatal, only his shark-bitten speargun recovered",Y,0,1
2045,Dec-96,1996,Unprovoked,NEW CALEDONIA,South Province,L'llot Maetre,Attempting to attract dolphins,0,Hand bitten,N,1,0
2046,29-Nov-96,1996,Unprovoked,USA,California,"Salmon Creek Beach, Sonoma County",Surfing,45,Single laceration on ankle & board bitten,N,0,1
2047,18-Nov-96,1996,Unprovoked,USA,Florida,"Coral Cove Park, Palm Beach County",Surfing,26,Right foot bitten,N,0,1
2048,28-Oct-96,1996,Unprovoked,BRAZIL,Pernambuco,Barra de Jangada,Surfing,0,Leg bitten,N,0,0
2049,28-Oct-96,1996,Unprovoked,BRAZIL,Pernambuco,Barra de Jangada,Surfing,0,Survived,N,0,1
2050,09-Oct-96,1996,Unprovoked,OKINAWA,Miyako Island,Boragawa Beach,Swimming or snorkeling,0,FATAL,Y,0,1
2051,05-Oct-96,1996,Unprovoked,USA,California,"Dillon Beach, Marin County",Surfing,22,Lower leg bitten,N,0,1
2052,03-Oct-96,1996,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,21,"4"" laceration on left forearm",N,0,1
2053,03-Oct-96,1996,Unprovoked,USA,California,"North Salmon Creek Beach, Sonoma County",Surfing,31,"No Injury, shark struck his board",N,0,1
2054,Oct-96,1996,Unprovoked,BRAZIL,Pernambuco,NO DATA,NO DATA,0,Survived,N,0,0
2055,18-Sep-96,1996,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,14,4 or 5 lacerations on left ankle,N,0,1
2056,06-Sep-96,1996,Unprovoked,NEW ZEALAND,Chatham Islands ,Waihere Bay,Diving for abalone,23,"Back, arms & wrist severely lacerated",N,0,1
2057,06-Sep-96,1996,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing / Swimming,19,Small puncture wounds and lacerations on right leg just below knee,N,0,1
2058,02-Sep-96,1996,Unprovoked,USA,Florida,"Behune Beach, Volusia County",Standing,5,Right foot bitten,N,0,1
2059,02-Sep-96,1996,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Sitting on surfboard,28,Small lacerations on left foot,N,0,1
2060,01-Sep-96,1996,Invalid,USA,South Carolina,"Garden City Beach, Horry County",Boogie boarding,28,Minor injuries to foot,N,1,0
2061,01-Sep-96,1996,Provoked,SOUTH AFRICA,KwaZulu-Natal,Hibberdene,Spearfishing,29,No injury  PROVOKED INCIDENT,N,0,1
2062,29-Aug-96,1996,Unprovoked,USA,Hawaii,"Paukukalo, Maui",Body Boarding,19,Right calf bitten,N,0,1
2063,13-Aug-96,1996,Unprovoked,USA,California,"Bird Rock, Tomales Point",Free diving for abalone,36,"Left shoulder, forearm, hand & abdomen lacerated",N,0,1
2064,11-Aug-96,1996,Unprovoked,USA,Florida,"Bayshore Garden, Sarasota Bay, Sarasota County",Wade fishing,21,"No injury, towed by shark that grabbed stringer of fish tied to his waist",N,0,1
2065,26-Jul-96,1996,Unprovoked,USA,Florida,"Wiggins Pass, Collier County",Standing,8,Survived,N,1,0
2066,23-Jul-96,1996,Unprovoked,OKINAWA,Miyako,Hirara City,Swimming,52,"FATAL, torso & abdomen bitten,  forearm severedL",Y,0,1
2067,23-Jul-96,1996,Unprovoked,EGYPT / ISRAEL,"South Sinai, Gulf of Aqaba","1 km off the mouth of Marsa Bereika, north of Ras Mohammed",Free diving with a pod of dolphins,0,"Bitten on back, shoulder & chest",N,0,1
2068,21-Jul-96,1996,Unprovoked,USA,Massachusetts,"Truro (Cape Cod), Barnstable County",Swimming,46,Lacerations to left leg & right foot ,N,0,1
2069,20-Jul-96,1996,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,9,Laceration to right arm,N,0,1
2070,14-Jul-96,1996,Unprovoked,USA,Hawaii,"Nakalele Point, Maui",NO DATA,0,No details,UNKNOWN,0,0
2071,10-Jul-96,1996,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",NO DATA,18,Right foot bitten,N,0,1
2072,04-Jul-96,1996,Unprovoked,USA,Florida,"Public Beach, Siesta Key, Sarasota County",Standing,63,Laceration on left foot,N,1,0
2073,04-Jul-96,1996,Unprovoked,BAHAMAS,Cat Cay,NO DATA,Diving,24,Left leg lacerated,N,0,1
