,eventid,iyear,imonth,iday,country,country_txt,city,summary,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,target1,natlty1,natlty1_txt,gname,motive,individual,nperps,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weapdetail,nkill,nkillter,nwound,nwoundte,nkil
814,197104140002,1971,4,14,217,United States,San Juan,"4/14/1971: Puerto Rican nationalists placed a bomb at the Caribe Hilton Hotel in San Juan, Puerto Rico.  The bomb was discovered and subsequently dismantled.",1,1,1,0,0,0,0,3,Bombing/Explosion,1,Business,"Caribe Hilton Hotel, San Juan",217,United States,Puerto Rican Nationalists,To protest United States establishments in Puerto Rico,0,-99,6,Explosives,16,Unknown Explosive Type,Powerful bomb,0.0,0,0,0,0
815,197104150001,1971,4,15,217,United States,Los Angeles,"4/15/1971: Unknown perpetrators bombed a Selective Service office in Los Angeles, California, United States.  There were no casualties and it is unknown if the office was damaged.",1,1,1,0,0,1,0,3,Bombing/Explosion,2,Government (General),Los Angeles Selective Service office,217,United States,Left-Wing Militants,To protest and sabotage the draft,0,-99,6,Explosives,16,Unknown Explosive Type,Bombed,0.0,0,0,0,0
816,197104170001,1971,4,17,217,United States,New York City,,1,1,1,0,0,1,0,1,Assassination,22,Violent Political Party,Official: Samuel Lee Napier,217,United States,Black Panthers,,0,8,5,Firearms,3,Handgun,Pistols,1.0,,0,,1
817,197104190001,1971,4,19,217,United States,New York City,,1,1,1,0,0,0,0,2,Armed Assault,3,Police,Policemen,217,United States,Black Panthers,,0,3,5,Firearms,3,Handgun,Pistols,0.0,,2,,0
819,197104190003,1971,4,19,217,United States,New York City,,1,1,1,0,0,1,0,3,Bombing/Explosion,18,Tourists,South African Tourist Corp.,183,South Africa,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
820,197104190004,1971,4,19,217,United States,San Juan,"4/19/1971: The Armed Commandos of Liberation claimed responsibility for detonating two bombs in American owned businesses at the El Comandante Shopping Center in San Juan, Puerto Rico.  The bombs caused extensive damage and three people were injured by flying glass.",1,1,1,0,0,1,0,3,Bombing/Explosion,1,Business,"Franklin's Women's Apparel store and Thom McCan shoe store, San Juan Puerto Rico",217,United States,Armed Commandos of Liberation,To protest United States owned businesses in Puerto Rico,0,-99,6,Explosives,16,Unknown Explosive Type,Two bombs,3.0,0,0,0,3
821,197104200001,1971,4,20,217,United States,Fresno,"4/20/1971: Unknown perpetrators bombed the Fresno Armed Forces Examining and Induction Center in Fresno, California, United States.  There were no casualties but the exterior of the building sustained minor damage.",1,1,1,0,0,1,0,3,Bombing/Explosion,4,Military,Armed Forces Examining and Induction Center,217,United States,Left-Wing Militants,To protest and sabotage the US Military,0,-99,6,Explosives,16,Unknown Explosive Type,Bomb,0.0,0,0,0,0
822,197104200002,1971,4,20,217,United States,Berkeley,"4/20/1971: For the second time in six weeks, unknown perpetrators bombed a Bank of America branch in Berkeley, California, United States.  There were no casualties but windows were shattered at the bank and at a business across the street.",1,1,1,0,0,1,0,3,Bombing/Explosion,1,Business,"Bank of America, South Berkeley California",217,United States,Left-Wing Militants,"Bank of America was perceived to symbolize the ""capitalist exploitation of the little man.""",0,-99,6,Explosives,31,Pipe Bomb,,0.0,0,0,0,0
823,197104200003,1971,4,20,217,United States,Richfield,"4/20/1971: Unknown perpetrators firebombed a Selective Service office in Richfield, Minnesota, United States.  There were no casualties and it is unknown if the office was damaged.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,2,Government (General),"Selective Service office, Richfield Minnesota",217,United States,Left-Wing Militants,To protest and sabotage the draft,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
824,197104220001,1971,4,22,217,United States,New York City,,1,1,1,0,0,1,0,3,Bombing/Explosion,1,Business,Soviet Trade Agency,359,Soviet Union,Jewish Defense League (JDL),,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
825,197104230001,1971,4,23,217,United States,Fresno,,1,1,1,0,0,1,0,3,Bombing/Explosion,2,Government (General),State Parole Office Building,217,United States,Chicano Liberation Front,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
826,197104230002,1971,4,23,217,United States,Palo Alto,,1,1,1,0,0,1,0,3,Bombing/Explosion,8,Educational Institution,Office Univ President,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
827,197104230003,1971,4,23,217,United States,Los Gatos,"4/23/1971: Suspected revolutionary leftists firebombed two delivery trucks parked outside of the main post office in Los Gatos, California, United States.  There were no casualties but the trucks were damaged.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,2,Government (General),"Main Post Office, Los Gatos California",217,United States,Left-Wing Militants,,0,-99,8,Incendiary,20,Gasoline or Alcohol,Wine bottles filled with gasoline ignited on the hoods of the two vehicles,0.0,0,0,0,0
828,197104230004,1971,4,23,217,United States,Mill Valley,"4/23/1971: A suspected member of the Weathermen bombed a Bank of America branch in Mill Valley, California, United States for the second time in a month.  There were no casualties but the night depositary box was damaged and a window was shattered.",1,1,1,0,0,1,0,3,Bombing/Explosion,1,Business,"Bank of America, Mill Valley California",217,United States,"Weather Underground, Weathermen","Bank of America was perceived to symbolize the ""capitalist exploitation of the little man.""",0,1,6,Explosives,31,Pipe Bomb,Lead pipe bomb,0.0,0,0,0,0
829,197104230005,1971,4,23,217,United States,Palo Alto,"4/23/1971: Unknown perpetrators shot two electrical transformers that provided power to Stanford University in Palo Alto, California, United States.  There were no casualties but the transformers were damaged.",1,1,1,0,0,1,0,2,Armed Assault,21,Utilities,Two electric transformers at the central power station for Stanford University,217,United States,Student Radicals,,0,-99,5,Firearms,5,Unknown Gun Type,Four shots from either a rifle or pistol,0.0,0,0,0,0
830,197104240001,1971,4,24,217,United States,Youngstown,"4/24/1971: There was a suspected bombing of the Army National Guard Armory in Youngstown, Ohio, United States.  There were no casualties and it is unknown if the building sustained any damages.",1,1,1,1,0,1,0,3,Bombing/Explosion,4,Military,"Army National Guard Armory, Youngstown Ohio",217,United States,Left-Wing Militants,To protest and the National Guard,0,-99,6,Explosives,16,Unknown Explosive Type,Bombed,0.0,0,0,0,0
831,197104250001,1971,4,25,217,United States,Claremont,"4/25/1971: In a series of related incidents, unknown perpetrators threw a Molotov cocktail into Bauer Hall at Claremont Men's College in Claremont, California, United States.  R.O.T.C. classes were taught in the building.  The firebomb caused only slight damage.",1,1,1,0,1,1,0,7,Facility/Infrastructure Attack,4,Military,"Building housing R.O.T.C. classrooms, Claremont Men's College",217,United States,Student Radicals,To protest the R.O.T.C. program,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Molotov cocktail,0.0,0,0,0,0
832,197104250002,1971,4,25,217,United States,Claremont,"4/25/1971: In a series of related incidents, unknown perpetrators threw a Molotov cocktail into Sumner Hall at Pomona College in Claremont, California, United States.  The firebomb caused only slight damage to the building.",1,1,1,0,1,1,0,7,Facility/Infrastructure Attack,8,Educational Institution,"Sumner Hall, Pomona College",217,United States,Student Radicals,,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Molotov cocktail,0.0,0,0,0,0
833,197104260001,1971,4,26,217,United States,Claremont,"4/26/1971: Unknown perpetrators firebombed the President's office of Harvey Mudd College in Claremont, California, United.  There were no casualties and it not known if the office was damaged in the incident.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,8,Educational Institution,Office of the President of Harvey Mudd College,217,United States,Student Radicals,,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
834,197104270001,1971,4,27,217,United States,Mill Valley,"4/27/1971: A bomb detonated in a men's restroom at Tamalpais High School in Mill Valley, California, United States. There were no casualties but the restroom was damaged. Two days after the bombing, Bruce Paul Lohmann, a student at the school, was arrested and admitted carrying out this attack as well as two other recent bombings at banks in the area.",1,1,1,0,0,1,0,3,Bombing/Explosion,8,Educational Institution,Men's Restroom of Tamalpais High School,217,United States,Left-wing extremists,,1,1,6,Explosives,16,Unknown Explosive Type,Bomb,0.0,0,0,0,0
835,197104270002,1971,4,27,217,United States,Los Angeles,"4/27/1971: Unknown perpetrators bombed Julien's Furniture Store in Los Angeles, California, United States.  There were no casualties but the store was damaged.",1,1,1,1,0,1,0,3,Bombing/Explosion,1,Business,"Julien's Furniture Store, Los Angeles",217,United States,Left-Wing Militants,,0,-99,6,Explosives,17,Other Explosive Type,Bomb consisting of low-grade black powder,0.0,0,0,0,0
836,197104280001,1971,4,28,217,United States,Oakland,"4/28/1971: Unknown perpetrators detonated a pipe bomb outside of the Bank of America branch at the Kaiser Center in Oakland, California, United States.  There were no casualties but the building sustained an estimated $8,500 in damages.",1,1,1,0,0,1,0,3,Bombing/Explosion,1,Business,"Bank of America, Kaiser Center branch in Oakland California",217,United States,Left-Wing Militants,"Bank of America was perceived to symbolize the ""capitalist exploitation of the little man.""",0,2,6,Explosives,31,Pipe Bomb,"Nine-inch long, three-inch diameter pipe bomb",0.0,0,0,0,0
837,197104280002,1971,4,28,217,United States,Los Angeles,"4/28/1971: Suspected members of the Chicano Liberation Front bombed a Lincoln Heights Bank of America branch in Los Angeles, California, United States.  There were no casualties but the bank was damaged.",1,1,1,0,0,1,0,3,Bombing/Explosion,1,Business,"Lincoln Heights branch of Bank of America, Los Angeles",217,United States,Chicano Liberation Front,"Bank of America was perceived to symbolize the ""capitalist exploitation of the little man.""",0,-99,6,Explosives,16,Unknown Explosive Type,Bomb consisting of low-grade black powder,0.0,0,0,0,0
839,197104290002,1971,4,29,217,United States,Montebello,"4/29/1971: In a series of two incidents that might have been part of a multiple attack, suspected members of the Chicano Liberation Front bombed a Safeway in Los Angeles, California, United States.  There were no casualties but a hole was torn into the roof of the building.",1,1,1,0,1,1,0,3,Bombing/Explosion,1,Business,Safeway in East Los Angeles,217,United States,Chicano Liberation Front,To protest the treatment of Mexican-Americans,0,-99,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",Small black powder device thrown at the building,0.0,0,0,0,0
840,197104290003,1971,4,29,217,United States,Los Angeles,"4/29/1971: In a series of two incidents that might have been part of a multiple attack, suspected members of the Chicano Liberation Front bombed a Bank of America branch in Los Angeles, California, United States.  There were no casualties but the building sustained $1,600 in damages.",1,1,1,0,1,1,0,3,Bombing/Explosion,1,Business,"Bank of America, Montebello branch in Los Angeles",217,United States,Chicano Liberation Front,"Bank of America was perceived to symbolize the ""capitalist exploitation of the little man.""",0,-99,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",Black powder device tossed from a car at the building,0.0,0,0,0,0
841,197104290004,1971,4,29,217,United States,Los Gatos,"4/29/1971: Suspected revolutionary leftists set fire to ten trucks belonging to the Pacific Gas and Electric Company in Los Gatos, California, United States.  All ten trucks were destroyed.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,1,Business,Trucks belonging to the Pacific Gas and Electric Company in Los Gatos California,217,United States,Left-Wing Militants,,0,-99,8,Incendiary,18,Arson/Fire,Fire,0.0,0,0,0,0
842,197104290005,1971,4,29,217,United States,Berkeley,"4/29/1971: Christopher Brian Cowsar went to the Air Force Recruiting Station in Berkeley, California, United States and stabbed Air Force Sergeant Rogers S. Mobley to death.  During the incident Cowsar screamed, ""he's sending people to Vietnam.  He's got to die.""",1,1,1,0,0,1,0,1,Assassination,4,Military,Air Force Recruiting Sergeant in Berkeley California,217,United States,Left-Wing Militants,To protest the War in Vietnam and the draft,0,1,9,Melee,23,Knife or Other Sharp Object,Five-inch hunting knife,1.0,0,0,0,1
843,197104300001,1971,4,30,217,United States,San Jose,"4/30/1971: Unknown perpetrators broke into the National Guard Armory in San Jose, California, United States and set fire to trucks stationed in the parking lot.  Three vehicles were destroyed, three vehicles were heavily damaged, and one trailer was slightly damaged.  Total losses were estimated at $20,000.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,4,Military,Trucks stationed at the National Guard Armory in San Jose California,217,United States,Left-Wing Militants,To protest and sabotage the National Guard,0,-99,8,Incendiary,20,Gasoline or Alcohol,Gasoline drained from the parked trucks and set on fire,0.0,0,0,0,0
844,197104300002,1971,4,30,217,United States,Braintree,"4/30/1971: Unknown perpetrators failed in their attempts to bomb the Selective Service office in Braintree, Massachusetts, United States.",1,1,1,0,0,0,0,3,Bombing/Explosion,2,Government (General),"Selective Service office, Braintree Massachusetts",217,United States,Left-Wing Militants,To protest and sabotage the draft,0,-99,6,Explosives,16,Unknown Explosive Type,Bombed,0.0,0,0,0,0
845,197105010001,1971,5,1,217,United States,Santa Cruz,,1,1,1,0,0,1,0,3,Bombing/Explosion,1,Business,Bank of America Branch,217,United States,People's Revolutionary Party,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
849,197105040003,1971,5,4,217,United States,Chico,"5/4/1971: Unknown perpetrators attempted to firebomb an Air Force Recruiting Station in Chico, California, United States.  However, the bomb fizzled out before it was able to ignite.",1,1,1,0,0,0,0,7,Facility/Infrastructure Attack,4,Military,"Air Force Recruiting Station, Chico California",217,United States,Left-Wing Militants,To protest the War in Vietnam and the draft,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
850,197105040004,1971,5,4,217,United States,Fresno,"5/4/1971: Unknown perpetrators bombed the transmission towers of the KMAK radio station in Fresno, California, United States.  A junction box was damaged and the station was temporarily knocked off the air.",1,1,1,1,0,1,0,3,Bombing/Explosion,16,Telecommunication,"KMAK transmission towers, Fresno California",217,United States,Chicano Radicals,,0,-99,6,Explosives,28,Dynamite/TNT,Sticks of dynamite tossed over a fence,0.0,0,0,0,0
851,197105040005,1971,5,4,217,United States,San Bruno,"5/4/1971: Two radical leftists failed in their attempts to firebomb a Bank of America branch in San Bruno, California, United States.",1,1,1,0,0,0,0,7,Facility/Infrastructure Attack,1,Business,"Bank of America, San Bruno California",217,United States,Left-Wing Militants,To communicate to the general public that 'political activities' are not just limited to extremist groups,0,2,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
854,197105050003,1971,5,5,217,United States,Chico,,1,1,1,-9,0,1,0,3,Bombing/Explosion,1,Business,Bank of America,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,,,,,0
855,197105050004,1971,5,5,217,United States,Chico,"5/5/1971: Unknown perpetrators threw a firebomb at the American Opinion Bookstore in Chico, California, United States.  The firebomb failed to break through the window of the store but scorched the outside wall of the building.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,1,Business,"American Opinion Bookstore, Chico California",217,United States,Left-Wing Militants,,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb tossed at store,0.0,0,0,0,0
856,197105050005,1971,5,5,217,United States,Tempe,"5/5/1971: Unknown perpetrators threw three firebombs into the Old Main building at Arizona State University in Tempe, United States.  The fires were extinguished before any damage was inflicted on the building.",1,1,1,1,0,0,0,7,Facility/Infrastructure Attack,8,Educational Institution,"Old Main building, Arizona State University",217,United States,Left-Wing Militants,Suspected motive is to protest against the Vietnam War,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Three firebombs thrown into building,0.0,0,0,0,0
857,197105050006,1971,5,5,217,United States,Kansas City,"5/5/1971: Unknown perpetrators firebombed a Selective Service office that was located in a Federal building in Kansas City, Kansas, United States.  There were no casualties and it is not known if the building sustained any damages.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,4,Military,Selective Service office housed in a Federal building in Kansas City Kansas,217,United States,Left-Wing Militants,To protest and sabotage the draft,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
858,197105050007,1971,5,5,217,United States,Riverside,"5/5/1971: Unknown perpetrators placed a pipe bomb on a street in the vicinity the campus of the University of California, Riverside, United States.  The bomb was discovered and subsequently removed.",1,1,1,1,0,0,0,3,Bombing/Explosion,8,Educational Institution,,217,United States,Student Radicals,,0,-99,6,Explosives,14,Time Fuse,Pipe bomb connected to a timing device,0.0,0,0,0,0
861,197105060003,1971,5,6,217,United States,Cupertino,"5/6/1971: Unknown perpetrators bombed an unmanned Pacific Gas & Electric Company substation in the vicinity of San Jose, California, United States.  A power generator was knocked out and electric service was temporarily stopped to Los Altos, Lost Gatos, Davenport, and Big Basin.",1,1,1,0,0,1,0,3,Bombing/Explosion,21,Utilities,"Pacific Gas & Electric Company Substation, ten miles west of San Jose",217,United States,Left-Wing Militants,To protest the Vietnam War,0,-99,6,Explosives,31,Pipe Bomb,,0.0,0,0,0,0
862,197105060004,1971,5,6,217,United States,East Los Angeles,"5/6/1971: Suspected members of the Chicano Liberation Front bombed a Standard Oil refinery in East Los Angeles, California, United States.  Standard Oil was the target of anti-war demonstrators later that day.  There were no casualties but the attack caused an estimated $5,000 in damages.",1,1,1,0,0,1,0,3,Bombing/Explosion,21,Utilities,Standard Oil of California refinery in East Los Angeles,217,United States,Chicano Liberation Front,To protest the Vietnam War or to protest the treatment of Mexican-Americans,0,-99,6,Explosives,28,Dynamite/TNT,Bomb apparently consisting of sticks of dynamite,0.0,0,0,0,0
863,197105060005,1971,5,6,217,United States,Burlingame,"5/6/1971: Unknown perpetrators firebombed a Military Recruiting Center in Burlingame, California, United States.  It is unknown if the recruiting center sustained any damages.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,4,Military,"Military recruiting center, Burlingame California",217,United States,Left-Wing Militants,To protest the draft,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
864,197105060006,1971,5,6,217,United States,Hawthorne,"5/6/1971: An explosive device detonated within the vicinity of Military Trucks at the Naval Ammunition Depot in Hawthorne, Nevada, United States.  Private Charles Henderson was killed and Lance Corporal Charles Bauer was injured.",1,1,1,1,0,1,0,3,Bombing/Explosion,4,Military,Military Trucks at Naval Ammunition Depot in Hawthorne Nevada,217,United States,Left-Wing Militants,To protest and sabotage the US Military,0,-99,6,Explosives,16,Unknown Explosive Type,Explosive device,1.0,0,1,0,1
865,197105070001,1971,5,7,217,United States,Iowa City,,1,1,1,0,0,1,0,3,Bombing/Explosion,2,Government (General),City Clinic Center,217,United States,Students for a Democratic Society,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
868,197105080003,1971,5,8,217,United States,Los Angeles,"5/8/1971: Suspected members of the Chicano Liberation Front bombed the Los Angeles County welfare office located in the Department of Public Social Services Building in Los Angeles, California, United States.  The were no casualties but the front door was destroyed.",1,1,1,0,0,1,0,3,Bombing/Explosion,2,Government (General),Los Angeles County Welfare Office,217,United States,Chicano Liberation Front,To protest the treatment of Mexican-Americans,0,-99,6,Explosives,31,Pipe Bomb,,0.0,0,0,0,0
869,197105090001,1971,5,9,217,United States,Berkeley,,1,1,1,-9,0,1,0,3,Bombing/Explosion,1,Business,Bank of America,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
870,197105090002,1971,5,9,217,United States,Greensboro,,1,1,1,0,0,0,0,3,Bombing/Explosion,8,Educational Institution,"Home, ABT State Univ. President",217,United States,Regulators,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
871,197105090003,1971,5,9,217,United States,Altadena,"5/9/1971: Suspected members of the Chicano Liberation Front tossed a firebomb into the Shopping Bag market in Altadena, California, United States.  There were no casualties but the supermarket sustained an estimated $2,500 in damages.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,1,Business,"Shopping Bag Market, Altadena California",217,United States,Chicano Liberation Front,To protest the treatment of Mexican-Americans,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb tossed into supermarket,0.0,0,0,0,0
873,197105110002,1971,5,11,217,United States,Los Angeles,,1,1,1,-9,0,1,0,3,Bombing/Explosion,1,Business,Los Angeles Savings & Loan,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
874,197105110003,1971,5,11,217,United States,Los Angeles,"5/11/1971: In a series of two incidents that might have been part of a multiple attack, suspected members of the Chicano Liberation Front firebombed the Bank of America Woodland Hills branch in Los Angeles, California, United States.  The bomb smashed through a window but did not cause any damage to the interior of the building.",1,1,1,0,1,1,0,7,Facility/Infrastructure Attack,1,Business,"Bank of America, Woodland Hills branch in Los Angeles California",217,United States,Chicano Liberation Front,"Bank of America was perceived to symbolize the ""capitalist exploitation of the little man.""",0,-99,8,Incendiary,20,Gasoline or Alcohol,Gallon jug containing flammable liquid smashed against the building,0.0,0,0,0,0
875,197105110004,1971,5,11,217,United States,Los Angeles,"5/11/1971: In a series of two incidents that might have been part of a multiple attack, unknown perpetrators firebombed the Bank of America Chatworth branch in Los Angeles, California, United States.  There were no casualties but the rear door of the building was damaged.",1,1,1,0,1,1,0,7,Facility/Infrastructure Attack,1,Business,"Bank of America, Chatworth branch in Los Angeles California",217,United States,Left-Wing Militants,"Bank of America was perceived to symbolize the ""capitalist exploitation of the little man.""",0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb tossed into building,0.0,0,0,0,0
876,197105110005,1971,5,11,217,United States,Baltimore,"5/11/1971: Unknown perpetrators firebombed Army Reserve Jeeps stationed at the Sheridan Armory in Baltimore, Maryland, United States.  There were no casualties but three Jeeps sustained a total of $1,500 in damages.  Nine other unexploded incendiary devices were discovered at the scene.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,4,Military,Army Reserve Jeeps stationed at Sheridan Armory,217,United States,Left-Wing Militants,Protest and sabotage the US Army,0,-99,2,Chemical,,,Bottles of sulphuric acid leaked into the gas tanks of the Jeeps that ignited when it mixed with the gasoline,0.0,0,0,0,0
878,197105120002,1971,5,12,217,United States,West Palm Beach,"5/12/1971: Unknown perpetrators bombed the car of Lloyd Early, the Superintendent of Palm Beach County.  The car was stationed in the parking lot of North Shore Junior-Senior High School in West Palm Beach, Florida, United States.  The vehicle sustained minor damages. The Palm Beach County school district was the scene of intense racial conflict.",1,1,1,0,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Lloyd Early,217,United States,Black Nationalists,African American opposition to the policies of the Palm Beach County school district,0,-99,6,Explosives,14,Time Fuse,"Bomb consisting of black powder, two batteries, and a clock",0.0,0,0,0,0
879,197105130001,1971,5,13,217,United States,Chicago,,1,1,1,0,0,0,0,2,Armed Assault,3,Police,Policemen,217,United States,Black Panthers,,0,4,5,Firearms,4,Rifle/Shotgun (non-automatic),Rifle,0.0,,3,,0
889,197105190001,1971,5,19,217,United States,New York City,"5/19/1971: Members of the Black Liberation Army shot and wounded two police officers, Thomas P. Curry and Nicholas J. Binetti, in Manhattan, New York, United States.  The officers were guarding the home of New York District Attorney Frank Hogan when they saw a car going the wrong way down a one-way street.  When the officers caught up with the vehicle six blocks away, the perpetrators fired shots into the police car.  The radio car was riddled with bullets and the windshield was shattered.",1,1,1,0,0,1,0,2,Armed Assault,3,Police,Police officers guarding the home of New York District Attorney Frank Horgan,217,United States,Black Liberation Army,To kill police,0,-99,5,Firearms,2,Automatic or Semi-Automatic Rifle,.45 caliber submachine gun,0.0,0,2,0,0
890,197105200001,1971,5,20,217,United States,San Jose,,1,1,1,-9,0,1,0,7,Facility/Infrastructure Attack,1,Business,"ASDD Division, IBM",217,United States,Unknown,,0,,8,Incendiary,,,Incendiary,0.0,,0,,0
891,197105210001,1971,5,21,217,United States,New York City,,1,1,1,0,0,1,0,1,Assassination,3,Police,Policemen Piagentini and Jones,217,United States,Black Liberation Army,,0,,5,Firearms,2,Automatic or Semi-Automatic Rifle,Automatic firearm,2.0,,0,,2
892,197105210002,1971,5,21,217,United States,San Bruno,"5/21/1971: Two radical leftists failed in their attempts to firebomb the San Bruno Herald in San Bruno, California, United States.",1,1,1,0,0,0,0,7,Facility/Infrastructure Attack,10,Journalists & Media,San Bruno Herald,217,United States,Left-Wing Militants,To communicate to the general public that 'political activities' are not just limited to extremist groups,0,2,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
895,197105230002,1971,5,23,217,United States,Oakland,,1,1,1,-9,0,1,0,3,Bombing/Explosion,1,Business,Bank of America,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
896,197105250001,1971,5,25,217,United States,Walnut Creek,,1,1,1,0,0,1,0,3,Bombing/Explosion,21,Utilities,Pacific Gas and Electric,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
898,197105280001,1971,5,28,217,United States,Bedford Park,"5/28/1971: Unknown perpetrators placed a bomb in the parking lot of the Bedford Park Sherriff's Station in Bedford Park, Illinois, United States.  The bomb was discovered and subsequently disarmed a half hour before it was supposed to detonate.",1,1,1,1,0,0,0,3,Bombing/Explosion,3,Police,Parking lot of Bedford Park Sherriff's Station,217,United States,Black Nationalists,,0,-99,6,Explosives,28,Dynamite/TNT,Five sticks of dynamite wired to an alarm clock placed in a suitcase,0.0,0,0,0,0
900,197105290002,1971,5,29,217,United States,Cairo,"5/29/1971: Black militants fired into the Police Headquarters of Cairo, Illinois, United States, injuring a police officer.  Following the shooting, police officers noticed four men armed with guns across the street from the station.  The officers fired on the assailants initiating a shoot-out that lasted two hours.  Two additional policemen sustained bullet wounds while all four perpetrators eventually escaped.",1,1,1,0,0,1,0,2,Armed Assault,3,Police,Cairo Police Headquarters,217,United States,Black Nationalists,To kill police,0,-99,5,Firearms,5,Unknown Gun Type,.30 caliber bullets,0.0,0,3,0,0
901,197106030001,1971,6,3,217,United States,Los Angeles,,1,1,1,-9,0,1,0,3,Bombing/Explosion,1,Business,United California Bank,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
903,197106050002,1971,6,5,217,United States,New York City,,1,1,1,0,0,1,0,2,Armed Assault,1,Business,Triple O Night Club,217,United States,Black Liberation Army,,0,4,5,Firearms,3,Handgun,Pistols,1.0,,0,,1
905,197106060002,1971,6,6,217,United States,Menlo Park,,1,1,1,-9,0,1,0,3,Bombing/Explosion,1,Business,Wells Fargo Bank,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
906,197106100001,1971,6,10,217,United States,Petaluma,,1,1,1,-9,0,1,0,3,Bombing/Explosion,1,Business,Bank of America,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
908,197106110002,1971,6,11,217,United States,Los Angeles,"6/11/1971: In a series of related incidents, unknown perpetrators, protesting the actions of the Mexican government, bombed the Mexican-American radio station KALI in Los Angeles, California, United States.  There were no casualties but windows at the building were shattered.",1,1,1,0,1,1,0,3,Bombing/Explosion,10,Journalists & Media,KALI,217,United States,Chicano Radicals,"To protest the complicity of the Mexican government, in the death of eight student protesters, during riots in Mexico City.",0,-99,6,Explosives,16,Unknown Explosive Type,Bomb placed outside the door of the building,0.0,0,0,0,0
909,197106110003,1971,6,11,217,United States,Pasadena,"6/11/1971: In a series of related incidents, unknown perpetrators, protesting the actions of the Mexican government, bombed the Mexican-American radio station KWKW in Pasadena, California, United States.  There were no casualties but the building sustained an estimated $1,000 in damages.  Additionally, station was knocked off the air for ten minutes.",1,1,1,0,1,1,0,3,Bombing/Explosion,10,Journalists & Media,KWKW,217,United States,Chicano Radicals,"To protest the complicity of the Mexican government, in the death of eight student protesters, during riots in Mexico City.",0,-99,6,Explosives,16,Unknown Explosive Type,Bomb tossed on the roof of the building,0.0,0,0,0,0
911,197106130001,1971,6,13,217,United States,Los Angeles,,1,1,1,0,0,1,0,3,Bombing/Explosion,18,Tourists,Mexican government tourist office,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
