,Outlier,userId_x,userId_y,CommentCount,DownVotes,Reputation,Score,UpVotes,ViewCount,Views,postId
15211,Views,24055,9571.0,0,0,35,1,0,143,8,24055
15212,Views,24056,2669.0,2,0,332,0,0,0,10,24056
15225,Views,24073,9571.0,5,4,1136,1,1346,493,56,24073
15240,Views,24091,72.0,9,0,125,3,7,0,15,24091
15242,Views,24093,9595.0,0,0,1,0,0,0,10,24093
15250,Views,24112,9607.0,1,0,11,1,0,300,15,24112
15260,Views,24128,9619.0,0,0,36,5,21,236,14,24128
15273,Views,24143,9207.0,0,0,146,5,2,0,12,24143
15274,Views,24144,1764.0,2,0,155,2,7,0,8,24144
15277,Views,24151,8177.0,0,0,1,-1,0,0,8,24151
15293,Views,24173,9628.0,0,0,28,1,0,50,8,24173
15295,Views,24175,9630.0,0,1,365,3,24,163,13,24175
15302,Views,24189,7972.0,0,0,26,5,0,0,12,24189
15305,Views,24197,,7,0,321,1,0,445,42,24197
15307,Views,24199,8439.0,3,0,140,0,1,84,11,24199
15312,Views,24206,7290.0,1,0,23,5,0,0,11,24206
15318,Views,24212,6897.0,1,0,16,0,5,131,11,24212
15334,Views,24238,1118.0,0,0,32,1,2,0,20,24238
15350,Views,24256,919.0,0,0,6,10,0,0,10,24256
15352,Views,24258,6897.0,3,0,101,2,2,0,8,24258
15381,Views,24293,7515.0,3,0,175,0,1,518,11,24293
15383,Views,24295,7972.0,3,0,231,2,2,0,32,24295
15384,Views,24296,2310.0,0,0,46,1,0,0,9,24296
15404,Views,24323,1739.0,3,0,81,8,5,0,28,24323
15407,Views,24327,9169.0,10,0,155,2,3,381,13,24327
15417,Views,24341,2860.0,1,1,658,1,225,0,62,24341
15448,Views,24388,7071.0,8,0,126,5,20,195,21,24388
15461,Views,24406,7555.0,1,0,101,3,0,0,12,24406
15474,Views,24423,9738.0,10,0,174,1,4,0,13,24423
15499,Views,24450,9759.0,3,0,58,4,0,2718,9,24450
15527,Views,24482,930.0,4,0,101,5,0,0,16,24482
15529,Views,24484,1106.0,4,0,61,5,0,392,9,24484
15536,Views,24492,9774.0,1,0,31,2,0,674,13,24492
15538,Views,24494,9775.0,3,0,65,1,1,445,13,24494
15540,Views,24498,2789.0,0,1,1088,3,24,0,84,24498
15544,Views,24503,9254.0,0,0,150,0,4,485,15,24503
15553,Views,24515,6000.0,0,0,722,0,41,0,42,24515
15573,Views,24543,9800.0,0,0,231,0,2,163,8,24543
15588,Views,24563,3019.0,0,0,11,4,0,0,37,24563
15598,Views,24575,7555.0,0,0,84,3,1,0,20,24575
15605,Views,24587,9281.0,0,0,154,0,16,0,25,24587
15621,Views,24611,9834.0,0,0,18,5,0,202,9,24611
15626,Views,24617,9253.0,0,12,1320,1,198,0,344,24617
15631,Views,24626,601.0,1,0,46,4,17,0,57,24626
15657,Views,24660,4767.0,1,0,108,2,0,0,19,24660
15662,Views,24669,8605.0,4,12,2103,4,196,0,158,24669
15664,Views,24671,7972.0,4,0,291,1,69,0,37,24671
15665,Views,24673,9862.0,0,0,46,3,0,178,9,24673
15703,Views,24725,9342.0,3,0,33,1,1,116,23,24725
15704,Views,24728,4856.0,0,2,263,5,9,0,20,24728
15706,Views,24730,9773.0,2,0,143,3,0,358,8,24730
15738,Views,24778,2164.0,0,0,52,2,8,94,18,24778
15739,Views,24779,2164.0,2,0,21,1,0,457,11,24779
15744,Views,24786,9076.0,5,0,35,0,0,159,8,24786
15757,Views,24806,8461.0,0,0,23,1,2,1287,29,24806
15759,Views,24808,1739.0,6,91,1530,2,1316,0,357,24808
15768,Views,24819,9927.0,0,0,41,1,0,866,11,24819
15787,Views,24844,7482.0,0,0,1,0,0,248,14,24844
15790,Views,24848,9942.0,1,0,342,1,71,51,42,24848
15794,Views,24853,2073.0,2,0,142,15,11,965,12,24853
15801,Views,24865,6432.0,4,0,113,2,0,0,9,24865
15822,Views,24894,9912.0,2,0,74,1,1,303,13,24894
15827,Views,24905,9972.0,0,10,1057,1,33,776,150,24905
15857,Views,24952,9999.0,0,0,21,2,0,265,17,24952
15873,Views,24972,10006.0,8,0,1,2,0,390,10,24972
15884,Views,24990,139.0,4,0,113,4,1,0,8,24990
15890,Views,24997,10011.0,3,0,111,-2,2,317,8,24997
15928,Views,25059,7884.0,2,0,22,1,27,0,8,25059
15929,Views,25060,449.0,1,0,108,4,19,0,31,25060
15933,Views,25068,10046.0,8,0,23,17,2,5620,8,25068
15960,Views,25103,9394.0,0,0,369,2,61,0,109,25103
15964,Views,25110,9998.0,1,0,14,4,0,0,10,25110
15983,Views,25133,4611.0,0,1,477,4,96,0,46,25133
15984,Views,25134,10064.0,6,0,11,5,0,548,9,25134
16003,Views,25165,9146.0,2,0,48,1,2,267,10,25165
16008,Views,25170,7064.0,2,0,31,1,2,85,8,25170
16009,Views,25171,9998.0,0,0,211,4,6,623,14,25171
16020,Views,25184,10026.0,0,1,392,2,56,0,30,25184
16039,Views,25207,10093.0,5,0,11,0,0,247,18,25207
16040,Views,25209,7546.0,4,0,33,7,1,1982,19,25209
16043,Views,25212,10086.0,3,0,2725,1,60,0,224,25212
16051,Views,25224,686.0,4,0,146,2,4,0,21,25224
16092,Views,25291,9326.0,6,0,14,3,0,257,8,25291
16093,Views,25292,9738.0,1,0,378,7,5,0,20,25292
16109,Views,25316,3897.0,0,0,179,0,2,189,11,25316
16122,Views,25333,10114.0,0,0,101,1,2,121,8,25333
16124,Views,25335,795.0,0,0,116,3,1,35,54,25335
16125,Views,25336,9007.0,0,0,6,3,0,0,8,25336
16127,Views,25339,3369.0,2,0,79,0,12,0,11,25339
16144,Views,25367,10197.0,15,0,121,8,1,307,16,25367
16154,Views,25386,9247.0,0,0,262,2,5,1788,13,25386
16158,Views,25392,3262.0,2,0,439,4,16,1356,34,25392
16177,Views,25419,7972.0,0,0,21,1,0,0,10,25419
16190,Views,25441,7071.0,5,0,8,3,0,0,18,25441
16192,Views,25443,8413.0,5,0,76,5,0,0,15,25443
16222,Views,25488,10213.0,1,0,36,2,0,513,10,25488
16244,Views,25513,6317.0,2,0,18,0,0,224,10,25513
16255,Views,25526,10232.0,0,0,118,0,1,121,10,25526
16258,Views,25529,7224.0,0,0,53,10,7,444,17,25529
16317,Views,25622,9975.0,5,0,11,3,0,0,8,25622
16349,Views,25667,9177.0,1,0,25,1,0,1365,19,25667
16352,Views,25672,1118.0,17,0,40,77,2,27274,11,25672
16355,Views,25675,5443.0,1,2,299,4,25,0,103,25675
16357,Views,25677,6720.0,0,0,24,2,0,274,16,25677
16368,Views,25692,88.0,8,0,408,25,0,0,27,25692
16409,Views,25741,9142.0,0,0,71,1,1,0,8,25741
16423,Views,25759,264.0,2,0,51,6,0,0,10,25759
16450,Views,25794,4110.0,2,0,136,5,1,467,10,25794
16458,Views,25803,10347.0,2,0,18,5,0,0,10,25803
16467,Views,25814,5836.0,6,0,151,4,1,82,9,25814
16511,Views,25881,10388.0,0,0,18,4,0,0,10,25881
16533,Views,25907,4054.0,0,0,1,1,0,136,9,25907
16554,Views,25932,10319.0,7,0,68,1,0,250,11,25932
16555,Views,25936,10412.0,4,6,2196,0,298,73,206,25936
16562,Views,25944,9394.0,1,0,537,5,33,0,75,25944
16577,Views,25965,4908.0,1,3,302,2,13,545,24,25965
16579,Views,25969,7179.0,0,0,148,1,18,0,16,25969
16582,Views,25973,9444.0,8,0,306,7,20,0,17,25973
16595,Views,25990,442.0,2,0,121,1,0,0,8,25990
16597,Views,25993,9767.0,3,0,183,6,1,0,8,25993
16609,Views,26008,10441.0,6,1,157,2,8,0,16,26008
16617,Views,26018,10445.0,5,0,126,0,0,603,25,26018
16619,Views,26020,1724.0,2,0,51,4,0,1057,19,26020
16636,Views,26041,7255.0,0,0,61,14,6,3110,10,26041
16650,Views,26058,6292.0,0,0,26,0,0,179,14,26058
16661,Views,26080,8413.0,6,0,111,7,0,0,12,26080
16666,Views,26087,930.0,1,0,86,2,2,0,9,26087
16675,Views,26105,9887.0,1,0,900,1,62,182,101,26105
16683,Views,26115,10474.0,5,0,125,0,16,381,12,26115
16692,Views,26127,10479.0,0,0,11,2,0,0,12,26127
16695,Views,26130,5739.0,5,0,73,1,12,0,23,26130
16702,Views,26140,704.0,0,0,1,0,18,1021,36,26140
16725,Views,26173,7972.0,1,0,304,1,12,0,28,26173
16730,Views,26179,8507.0,0,0,33,3,8,0,9,26179
16732,Views,26181,10380.0,0,0,58,2,5,0,12,26181
16739,Views,26190,2546.0,3,0,148,2,4,0,25,26190
16740,Views,26192,10504.0,2,0,6,0,0,291,11,26192
16751,Views,26206,5739.0,5,1,735,8,7,0,25,26206
16769,Views,26226,10393.0,1,0,132,0,46,0,15,26226
16796,Views,26263,7250.0,0,0,28,1,0,0,12,26263
16799,Views,26267,,0,0,104,2,30,0,66,26267
16805,Views,26276,7122.0,3,0,33,1,2,758,12,26276
16811,Views,26283,666.0,3,0,38,13,0,0,8,26283
16849,Views,26335,3331.0,0,0,39,1,0,0,45,26335
16852,Views,26338,966.0,3,47,4800,2,1781,0,515,26338
16861,Views,26352,10566.0,5,0,215,1,39,2154,18,26352
16864,Views,26356,6664.0,0,0,131,8,20,0,8,26356
16865,Views,26357,6129.0,2,12,598,1,29,0,38,26357
16892,Views,26392,2958.0,0,0,20,2,1,0,12,26392
16920,Views,26425,4842.0,0,0,23,1,0,188,13,26425
16923,Views,26429,9620.0,3,0,1,2,0,90,13,26429
16928,Views,26435,8927.0,0,0,286,3,118,215,11,26435
16953,Views,26471,,2,0,41,1,2,68,20,26471
16969,Views,26501,1036.0,2,0,168,2,27,0,15,26501
16978,Views,26514,7972.0,2,0,1,1,0,0,8,26514
17015,Views,26567,10662.0,0,0,75,2,2,294,19,26567
17026,Views,26579,3919.0,1,0,160,0,4,0,8,26579
17035,Views,26593,10217.0,1,0,111,1,14,0,8,26593
17039,Views,26598,10069.0,1,0,51,4,0,257,16,26598
17052,Views,26613,10610.0,3,0,51,1,0,355,16,26613
17056,Views,26619,10678.0,1,0,28,3,0,298,15,26619
17057,Views,26620,10679.0,3,0,1,2,0,191,20,26620
17062,Views,26629,9136.0,4,0,140,2,2,143,11,26629
17070,Views,26640,4479.0,4,0,239,1,13,0,41,26640
17077,Views,26649,10693.0,2,0,22,2,0,765,12,26649
17085,Views,26658,6432.0,0,0,89,5,5,128,10,26658
17099,Views,26681,887.0,3,0,36,0,0,0,9,26681
17103,Views,26690,10479.0,0,0,131,1,5,0,9,26690
17109,Views,26696,887.0,2,0,120,15,3,753,10,26696
17113,Views,26701,1146.0,0,0,16,3,0,245,8,26701
17120,Views,26708,601.0,4,0,115,4,2,0,11,26708
17144,Views,26743,8402.0,0,0,346,2,120,290,19,26743
17146,Views,26748,10744.0,3,0,5,3,0,470,14,26748
17152,Views,26756,10524.0,0,0,38,2,4,0,10,26756
17165,Views,26776,5588.0,0,0,182,1,19,0,15,26776
17178,Views,26792,3026.0,2,0,80,0,4,455,24,26792
17237,Views,26881,10790.0,1,5,152,1,24,0,17,26881
17252,Views,26905,4505.0,0,0,136,2,3,0,10,26905
17263,Views,26919,10803.0,2,0,111,1,1,85,20,26919
17279,Views,26945,8402.0,6,0,91,0,16,0,14,26945
17281,Views,26950,8402.0,5,0,173,1,12,223,18,26950
17283,Views,26952,966.0,2,0,8,4,0,0,14,26952
17285,Views,26956,10815.0,0,0,48,1,9,514,11,26956
17316,Views,26997,10763.0,0,0,70,3,5,416,10,26997
17350,Views,27038,561.0,5,0,16,19,0,2308,23,27038
17381,Views,27088,10746.0,2,0,46,1,5,519,12,27088
17382,Views,27089,7251.0,0,0,141,4,1,0,8,27089
17384,Views,27099,10872.0,1,0,366,3,38,0,24,27099
17393,Views,27115,8089.0,3,0,45,1,1,0,16,27115
17418,Views,27142,10885.0,4,0,249,4,33,0,19,27142
17422,Views,27146,9007.0,0,0,116,27,0,1413,16,27146
17430,Views,27158,1764.0,4,0,311,2,23,0,16,27158
17446,Views,27190,603.0,4,0,136,5,2,202,23,27190
17455,Views,27201,,0,0,6,3,0,0,9,27201
17464,Views,27213,9007.0,6,5,429,4,30,496,45,27213
17467,Views,27217,4479.0,2,0,16,2,1,0,16,27217
17474,Views,27227,8333.0,1,0,21,1,0,113,9,27227
17484,Views,27238,4690.0,0,0,6,4,0,0,8,27238
17501,Views,27258,10790.0,9,0,39,1,1,0,9,27258
17503,Views,27260,686.0,0,0,202,4,6,0,8,27260
17512,Views,27271,10923.0,2,0,73,1,5,121,10,27271
17517,Views,27276,5264.0,2,0,363,3,61,412,26,27276
17522,Views,27283,966.0,3,0,39,6,3,563,9,27283
17535,Views,27301,10205.0,0,0,161,3,11,0,9,27301
17551,Views,27325,5836.0,4,0,11,2,0,559,10,27325
17556,Views,27330,3277.0,1,0,242,3,1,0,62,27330
17557,Views,27332,10785.0,0,0,68,6,21,13244,8,27332
17560,Views,27335,6793.0,0,0,1,4,0,0,13,27335
17563,Views,27342,4856.0,3,0,366,4,12,0,12,27342
17597,Views,27388,10976.0,2,0,6,6,0,115,9,27388
17606,Views,27400,197.0,0,0,121,5,17,2282,23,27400
17609,Views,27403,4856.0,10,1,2571,3,105,0,215,27403
17629,Views,27435,10992.0,0,2,725,1,20,507,39,27435
17640,Views,27449,6993.0,4,0,19,1,0,0,13,27449
17652,Views,27464,279.0,2,0,112,3,24,0,24,27464
17661,Views,27478,11011.0,0,0,6,1,0,266,8,27478
17664,Views,27482,6877.0,4,0,120,6,2,1620,9,27482
17673,Views,27492,9216.0,2,0,43,1,2,105,13,27492
17675,Views,27494,11014.0,0,0,129,5,8,181,30,27494
17676,Views,27495,10683.0,8,2,251,45,20,17382,15,27495
17685,Views,27508,9007.0,2,0,111,1,1,177,12,27508
17724,Views,27581,3748.0,2,12,1159,4,186,0,112,27581
17730,Views,27588,11047.0,2,0,45,1,4,507,16,27588
17744,Views,27608,4479.0,4,0,153,3,0,0,11,27608
17755,Views,27621,9231.0,1,0,31,1,0,474,13,27621
17776,Views,27657,919.0,2,0,35,4,2,0,14,27657
17777,Views,27658,11032.0,2,0,206,8,9,0,53,27658
17786,Views,27669,7071.0,0,0,46,2,3,0,11,27669
17788,Views,27672,36602.0,1,0,13,4,0,2244,8,27672
17805,Views,27693,5739.0,7,0,661,53,9,0,63,27693
17807,Views,27698,8402.0,9,0,106,0,0,135,20,27698
17859,Views,27763,11088.0,1,0,19,2,0,417,11,27763
17861,Views,27765,7290.0,3,0,605,4,15,0,28,27765
17872,Views,27779,7040.0,0,3,792,1,30,0,97,27779
17880,Views,27791,686.0,0,0,118,1,1,0,8,27791
17898,Views,27813,11100.0,3,0,105,1,6,509,19,27813
17909,Views,27827,3835.0,0,0,181,12,1,1300,13,27827
17915,Views,27834,8413.0,3,0,21,6,1,0,16,27834
17919,Views,27838,601.0,1,0,409,1,125,0,33,27838
17921,Views,27840,11032.0,0,0,366,1,8,0,10,27840
17930,Views,27855,7497.0,7,0,198,5,23,0,15,27855
17934,Views,27861,11118.0,3,0,313,9,3,4636,27,27861
17950,Views,27879,6178.0,0,0,141,3,4,306,30,27879
17968,Views,27900,11375.0,5,0,137,6,7,2930,17,27900
17977,Views,27915,11032.0,1,1,343,0,10,0,32,27915
17985,Views,27926,7411.0,1,0,14,1,0,0,8,27926
17995,Views,27936,11143.0,2,0,26,2,0,151,16,27936
18007,Views,27954,11005.0,1,0,28,1,0,143,8,27954
18010,Views,27958,10914.0,1,0,1,14,0,811,12,27958
18015,Views,27965,4505.0,11,0,303,18,2,0,9,27965
18018,Views,27969,11145.0,0,0,84,0,9,68,49,27969
18039,Views,27996,4505.0,4,0,130,6,38,0,9,27996
18075,Views,28050,7828.0,2,0,21,1,0,0,8,28050
18077,Views,28052,3331.0,1,0,16,0,0,0,9,28052
18091,Views,28072,11193.0,2,0,1,1,0,0,9,28072
18104,Views,28086,11242.0,9,0,138,1,3,558,9,28086
18106,Views,28090,10823.0,0,0,218,0,3,0,27,28090
18107,Views,28092,9231.0,1,0,15,0,0,129,44,28092
18120,Views,28115,8744.0,3,0,1,3,0,339,8,28115
18149,Views,28155,7744.0,0,0,31,2,0,0,9,28155
18156,Views,28168,11143.0,2,0,6,1,0,231,8,28168
18168,Views,28183,11234.0,1,0,212,0,40,289,41,28183
18194,Views,28216,4856.0,0,0,59,0,2,0,15,28216
18196,Views,28218,4856.0,0,10,628,0,95,0,240,28218
18207,Views,28231,7555.0,3,1,154,6,3,0,26,28231
18210,Views,28236,11032.0,6,0,54,0,1,0,18,28236
18222,Views,28252,4376.0,3,0,6,9,0,0,14,28252
18249,Views,28281,-1.0,0,0,378,0,34,0,14,28281
18252,Views,28285,7290.0,0,1,175,3,11,0,32,28285
18254,Views,28287,11252.0,0,0,1,5,0,500,8,28287
18255,Views,28288,11251.0,0,1,830,3,42,0,59,28288
18267,Views,28309,279.0,1,0,164,3,20,0,13,28309
18272,Views,28315,3582.0,0,0,161,2,1,0,13,28315
18276,Views,28319,10630.0,1,0,1,4,0,0,8,28319
18296,Views,28345,10823.0,0,0,197,3,6,0,9,28345
18304,Views,28354,11270.0,4,0,140,0,13,106,21,28354
18321,Views,28377,11279.0,0,0,54,1,4,76,17,28377
18332,Views,28393,8812.0,0,0,31,1,24,794,9,28393
18342,Views,28408,82.0,2,0,81,3,10,0,10,28408
18345,Views,28412,3903.0,1,0,17,0,1,170,16,28412
18351,Views,28420,11032.0,4,0,165,7,6,0,9,28420
18363,Views,28437,9887.0,0,0,75,3,3,1029,16,28437
18383,Views,28462,10524.0,2,2,1382,4,175,0,31,28462
18387,Views,28472,9699.0,4,0,76,3,12,1488,11,28472
18403,Views,28498,10227.0,0,0,111,1,0,1197,9,28498
18410,Views,28509,7556.0,3,0,42,4,5,1563,11,28509
18412,Views,28514,4334.0,1,0,11,1,0,336,16,28514
18417,Views,28520,11032.0,6,5,771,3,29,0,41,28520
18418,Views,28524,11240.0,3,0,407,4,23,0,25,28524
18422,Views,28529,10416.0,4,0,62,0,5,97,8,28529
18430,Views,28538,6897.0,21,0,46,2,4,181,11,28538
18441,Views,28556,3501.0,1,0,203,1,1,0,8,28556
18446,Views,28566,4843.0,6,0,1492,13,0,865,80,28566
18453,Views,28577,10630.0,1,0,60,2,7,0,11,28577
18478,Views,28617,11365.0,0,0,11,1,0,632,8,28617
18481,Views,28620,2817.0,5,0,176,3,0,2044,45,28620
18485,Views,28625,11052.0,0,0,8,3,0,0,14,28625
18493,Views,28637,11371.0,7,0,131,5,13,155,17,28637
18498,Views,28644,7972.0,0,0,197,2,34,0,19,28644
18516,Views,28666,7290.0,0,45,2653,0,729,0,233,28666
18519,Views,28670,3846.0,4,0,53,2,14,150,9,28670
18539,Views,28704,11398.0,0,0,66,0,0,138,19,28704
18540,Views,28705,11032.0,8,3,1209,0,43,0,78,28705
18558,Views,28729,11404.0,2,0,81,4,8,446,10,28729
18559,Views,28732,11412.0,1,0,941,6,76,1233,488,28732
18563,Views,28738,10043.0,2,0,16,2,2,826,8,28738
18567,Views,28746,2485.0,12,6,16108,9,63,0,1673,28746
18581,Views,28761,2426.0,7,0,8,3,0,139,8,28761
18584,Views,28764,4479.0,5,0,161,3,0,0,21,28764
18591,Views,28774,179.0,0,0,10,0,0,0,8,28774
18605,Views,28791,-1.0,0,3,619,0,374,0,41,28791
18615,Views,28808,6633.0,7,0,23,15,0,0,8,28808
18633,Views,28835,686.0,3,0,69,4,1,0,15,28835
18635,Views,28839,11279.0,0,0,11,0,0,0,9,28839
18683,Views,28903,10749.0,6,9,1104,2,19,103,70,28903
18684,Views,28904,11464.0,3,0,21,2,7,1226,10,28904
18693,Views,28916,10675.0,4,0,264,0,2,444,31,28916
18701,Views,28928,27581.0,0,1,129,0,33,0,182,28928
18710,Views,28940,449.0,2,0,231,4,36,0,25,28940
18731,Views,28966,11032.0,3,0,1,1,0,0,11,28966
18743,Views,28978,26338.0,0,0,118,0,33,0,16,28978
18747,Views,28983,10479.0,0,0,30,2,3,0,10,28983
18750,Views,28986,10675.0,0,1,186,1,30,0,19,28986
18752,Views,28988,11384.0,2,1,343,0,128,342,49,28988
18759,Views,29001,615.0,1,0,32,10,0,0,12,29001
18771,Views,29020,10749.0,6,1,410,0,14,301,19,29020
18772,Views,29021,7071.0,0,0,144,5,8,0,23,29021
18773,Views,29022,10849.0,4,0,21,3,0,0,9,29022
18796,Views,29052,10749.0,5,0,6,5,0,406,11,29052
18803,Views,29060,10749.0,4,0,16,2,0,175,9,29060
18809,Views,29068,4213.0,1,4,517,0,105,491,89,29068
18810,Views,29070,4908.0,2,0,237,0,43,103,8,29070
18822,Views,29087,10908.0,3,0,1001,0,11,0,37,29087
18828,Views,29093,9249.0,4,0,160,12,9,0,12,29093
18839,Views,29106,442.0,7,0,31,2,1,0,14,29106
18842,Views,29109,11535.0,1,4,419,2,73,213,45,29109
18845,Views,29115,5321.0,4,0,10,4,0,0,11,29115
18861,Views,29137,10643.0,1,3,794,1,233,560,148,29137
18873,Views,29163,8053.0,0,0,33,3,2,0,13,29163
18879,Views,29171,10849.0,6,0,70,5,0,0,14,29171
18882,Views,29176,8762.0,7,0,42,2,0,1236,12,29176
18888,Views,29187,11555.0,0,1,709,1,3,222,51,29187
18903,Views,29209,11032.0,5,0,11,3,0,0,8,29209
18934,Views,29255,1036.0,0,0,21,2,0,0,23,29255
18978,Views,29321,11601.0,1,0,198,2,6,0,15,29321
18992,Views,29342,8977.0,3,0,222,4,15,0,11,29342
19008,Views,29363,11294.0,0,0,51,0,0,396,9,29363
19017,Views,29374,4495.0,0,0,302,3,9,0,17,29374
19027,Views,29386,264.0,5,0,84,3,6,178,18,29386
19062,Views,29433,7972.0,0,3,685,3,26,0,43,29433
19069,Views,29444,88.0,2,0,126,3,0,0,8,29444
19075,Views,29452,10354.0,3,0,61,6,2,219,8,29452
19084,Views,29463,11640.0,8,0,102,1,0,420,8,29463
19095,Views,29476,2704.0,0,0,33,1,0,108,34,29476
19115,Views,29500,3903.0,0,0,91,5,1,2385,54,29500
19138,Views,29528,1381.0,4,0,16,7,0,0,24,29528
19146,Views,29537,858.0,0,0,124,0,25,0,15,29537
19188,Views,29597,919.0,7,0,88,8,2,0,18,29597
19191,Views,29600,11685.0,0,0,316,1,15,106,20,29600
19196,Views,29611,11055.0,7,0,195,1,6,807,12,29611
19201,Views,29617,1124.0,9,3,1207,6,120,3153,134,29617
19227,Views,29653,1583.0,0,0,119,2,2,2977,22,29653
19240,Views,29672,9394.0,6,0,96,5,2,0,8,29672
19241,Views,29673,11691.0,2,0,19,1,0,640,35,29673
19253,Views,29688,6633.0,1,0,56,3,1,0,10,29688
19258,Views,29695,5339.0,13,0,66,3,14,0,25,29695
19265,Views,29707,4505.0,3,0,258,7,121,0,31,29707
19273,Views,29716,7603.0,0,0,16,0,0,0,9,29716
19298,Views,29746,11279.0,0,0,61,2,0,378,22,29746
19299,Views,29747,11279.0,0,0,26,2,0,0,15,29747
19306,Views,29758,11662.0,14,0,130,1,13,139,9,29758
19311,Views,29765,6752.0,3,0,18,2,2,232,19,29765
19315,Views,29770,11032.0,1,0,346,1,1,0,13,29770
19317,Views,29774,2860.0,0,0,144,0,9,0,15,29774
19320,Views,29781,11621.0,5,0,101,51,0,33813,8,29781
19321,Views,29783,4856.0,10,0,116,42,1,0,8,29783
19348,Views,29820,5296.0,0,0,26,9,2,0,8,29820
19350,Views,29825,8114.0,16,0,78,0,22,102,31,29825
19376,Views,29868,11032.0,2,1,226,1,120,0,8,29868
19411,Views,29911,11804.0,0,0,211,0,39,100,9,29911
19435,Views,29941,11475.0,0,0,28,5,0,201,9,29941
19437,Views,29943,11032.0,1,1,306,1,23,0,18,29943
19443,Views,29950,10849.0,0,0,1,3,0,0,10,29950
19470,Views,29985,279.0,8,0,146,4,46,0,13,29985
19471,Views,29987,8114.0,10,0,101,0,1,1789,22,29987
19484,Views,30005,4705.0,0,0,158,1,31,305,8,30005
19494,Views,30016,3754.0,0,0,71,3,0,0,12,30016
19504,Views,30036,11843.0,0,0,21,0,2,0,17,30036
19529,Views,30072,11863.0,6,0,114,5,0,2911,13,30072
19546,Views,30091,11475.0,3,0,111,1,6,388,11,30091
19548,Views,30094,11674.0,0,0,11,1,0,0,11,30094
19565,Views,30121,2392.0,0,0,51,2,0,0,11,30121
19573,Views,30133,11032.0,4,0,81,0,6,0,13,30133
19586,Views,30152,601.0,0,0,73,4,0,0,27,30152
19602,Views,30172,11572.0,0,0,165,0,4,114,17,30172
19618,Views,30192,2218.0,2,0,117,-2,46,93,27,30192
19626,Views,30201,439.0,1,4,1271,8,81,0,74,30201
19627,Views,30202,5242.0,2,0,356,0,1,153,11,30202
19700,Views,30295,307.0,0,0,135,5,2,0,8,30295
19705,Views,30302,11032.0,3,0,36,4,0,0,21,30302
19708,Views,30306,8507.0,2,0,1,3,0,0,8,30306
19737,Views,30342,11032.0,1,0,91,1,0,0,18,30342
19743,Views,30351,5892.0,1,65,2205,3,368,0,309,30351
19768,Views,30382,9998.0,5,0,1,2,0,2426,9,30382
19781,Views,30395,,1,0,426,9,23,0,124,30395
19793,Views,30409,858.0,0,0,35,2,6,0,20,30409
19798,Views,30414,11704.0,9,0,11,0,0,1202,11,30414
19801,Views,30417,8013.0,2,0,511,1,3,0,35,30417
19813,Views,30433,7972.0,0,0,115,1,8,0,10,30433
19817,Views,30438,6579.0,0,0,349,0,2,0,43,30438
19824,Views,30446,11032.0,0,0,116,3,0,0,8,30446
19826,Views,30451,11983.0,0,0,68,3,9,186,9,30451
19833,Views,30460,11405.0,2,3,651,4,24,269,33,30460
19840,Views,30471,2970.0,3,0,110,12,1,0,8,30471
19853,Views,30489,10354.0,0,0,96,2,0,0,8,30489
19854,Views,30490,12001.0,0,0,93,1,20,192,67,30490
19858,Views,30494,7972.0,3,0,130,3,12,0,8,30494
19859,Views,30495,12005.0,0,0,9,2,0,815,8,30495
19863,Views,30499,183.0,5,0,49,5,1,0,8,30499
19864,Views,30501,5836.0,0,0,28,3,2,0,11,30501
19865,Views,30503,183.0,0,0,167,5,0,0,9,30503
19871,Views,30512,11991.0,0,0,40,5,2,297,12,30512
19878,Views,30523,11032.0,1,0,43,1,0,0,11,30523
19893,Views,30540,12018.0,12,0,317,1,86,163,55,30540
19898,Views,30547,11032.0,7,0,26,0,0,0,11,30547
19912,Views,30570,183.0,0,0,6,1,0,0,12,30570
19917,Views,30577,11032.0,0,0,473,3,14,0,61,30577
19928,Views,30589,11314.0,1,0,76,2,9,113,8,30589
19937,Views,30602,12043.0,2,0,25,3,2,1423,19,30602
19945,Views,30611,4856.0,0,0,169,13,16,0,16,30611
19947,Views,30613,7159.0,0,0,90,1,19,0,17,30613
19954,Views,30623,12045.0,0,0,155,2,6,281,33,30623
19960,Views,30630,6606.0,1,0,185,0,8,0,9,30630
19974,Views,30647,11032.0,3,0,1,1,0,0,10,30647
19980,Views,30655,3525.0,2,0,11,4,0,465,10,30655
19983,Views,30658,11981.0,1,0,33,3,0,0,59,30658
20014,Views,30701,5919.0,0,0,69,6,16,0,12,30701
20024,Views,30712,11843.0,0,1,720,0,4,0,70,30712
20058,Views,30755,919.0,2,1,151,9,14,0,11,30755
20090,Views,30792,3277.0,2,0,86,5,0,0,11,30792
20104,Views,30815,3501.0,2,0,425,5,3,488,60,30815
20118,Views,30831,7555.0,2,0,86,3,0,0,8,30831
20124,Views,30838,12092.0,1,0,36,2,5,205,22,30838
20148,Views,30866,601.0,1,0,16,3,15,0,11,30866
20156,Views,30877,8402.0,3,0,37,5,0,608,20,30877
20187,Views,30925,144.0,0,0,23,7,0,0,15,30925
20189,Views,30928,12143.0,2,0,26,4,0,91,19,30928
20200,Views,30940,1739.0,3,0,6,3,0,0,14,30940
20210,Views,30951,9136.0,1,1,161,0,32,159,35,30951
